player,birthplace
Vincenzo Iaquinta,"Crotone, Italy"
Jared Borgetti,"Culiacan,Mexico"
Alex,"Curitiba,Brazil"
El Hadji Diouf,"Dakar,Senegal"
Pierre Wome,"Douala,Cameroon"
Ian Harte,"Drogheda,Ireland"
Robbie Keane,"Dublin, Ireland"
Anders Svensson,"Elfsborg, Sweden"
Joseba Etxeberria,"Elgobar,Spain"
Ivan Hurtado,"Esmeraldas,Ecuador"
Fernando Couto,"Espinho,Portugal"
Martin Laursen,"Farvoug, Denmark"
Hernan Crespo,"Florida,Argentina"
Sebastian Kehl,"Fulda, Germany"
Cristiano Ronaldo,"Funchal, Madeira,Portugal"
Jurgen Klinsmann,"Gppingen, Germany"
Roberto Carlos,"Garca, Brazil"
Enrico Chiesa,"Genoa,Italy"
Barry Ferguson,"Glasgow,Scotland"
Lukas Podolski,"Gleiwitz, Poland"
Sergei Rebrov,"Gorlovka,Ukraine"
Florent Malouda,"Guyane, France"
Christoph Metzelder,"Haltern, Germany"
Ivan Klasnic,"Hamburg, Germany"
Fabian Ernst,"Hanovre, Germany"
Wilfred Bouma,"Helmond, Holland"
Georgios Samaras,"Heraklion, Greece"
Nick Barmby,"Hull,England"
Alex Aguinaga,"Ibarra,Ecuador"
Kieron Dyer,"Ipswich,England"
Emre Belozoglu,"Istanbul,Turkey"
Michel Platini,"Joeuf, France"
Steven Pienaar,"Johannesbourgh, South Africa"
Lucas Radebe,"Johannesburg,South Africa"
Benedict McCarthy,"Kaapstad, South africa"
Oliver Kahn,"Karlsruhe, Germany"
Salif Diao,"Kendougou,Senegal"
Kiki Musampa,"Kinshasa, DR Congo"
Joseph Yobo,"Kono, Nigeria"
Samuel Kuffour,"Kumasi, Ghana"
John Carew,"Lrenskog,Norway"
Juan Sebastian Veron,"La Plata, Argentina"
Obafemi Martins,"Lagos, Nigeria"
Jari Litmanen,"Lahti, Finland"
Brad Friedel,"Lakewood, Ohio,United States"
David Villa,"Langreo, Spain"
Stephane Chapuisat,"Lausanne, Switzerland"
Emile Heskey,"Leicester,England"
Thierry Henry,"Les Ulis,France"
David Beckham,"Leytonstone,England"
Savo Milosevic,"Leytonstone,England"
Steve Finnan,"Limerick, Ireland"
Ricardo Quaresma,"Lisbon, Portugal"
Maniche,"Lisbon, Portugal"
Nuno Valente,"Lisbon, Portugal"
Jamie Carragher,"Liverpool, England"
Wayne Rooney,"Liverpool,England"
Claudio Reyna,"Livingston, New Jersey,United States"
Carles Puyol,"Lleida, Spain"
Oliver Neuville,"Locarno, Switzerland"
Lee Bowyer,"London,England"
Shaun Wright Phillips,"Londres, England"
Giovane Elber,"Londrina-PR,Brazil"
Jose Luis Chilavert,"Luque,Paraguay"
Bruno N'Gotty,"Lyon, France"
Mark Van Bommel,"Maasbracht, Netherlands"
Peter Crouch,"Macclesfield, England"
Fernando Torres,"Madrid, Spain"
Raul Gonzalez,"Madrid,Spain"
Santiago Caizares,"Madrid,Spain"
Jan Kromkamp,"Makkinga, Holland"
Zlatan Ibrahimovic,"Malm,Sweden"
Gerald Asamoah,"Mampong, Ghana"
Roberto Baronio,"Manerbio,Italy"
Umit Davala,"Mannheim, Germany"
Zlatko Zahovic,"Maribor,Slovenia"
Zinedine Zidane,"Marseille,France"
Juan Pablo Angel,"Medelin,Colombia"
Mark Viduka,"Melbourne, Australia"
Cuauhtemoc Blanco,"Mexico City,Mexico"
Jonathan Woodgate,"Middlesbrough,England"
Sebastian Abreu,"Minas,Uruguay"
Stewart Downing,"Moddlesbrough, England"
Paolo Montero,"Montevideo, Uruguay"
Alvaro Recoba,"Montevideo,Uruguay"
Fabian Carini,"Montevideo,Uruguay"
Diego Forlan,"Montevideo,Uruguay"
Ricardo Pereira,"Montijo, Portugal"
Pier Luigi Casiraghi,"Monza,Italy"
Thomas Hitzlsperger,"Munich, Germany"
Markus Babbel,"Munich,Germany"
Abel Xavier,"Nampula,Mozambique"
Fabio Cannavaro,"Napoli,Italy"
Tim Borowski,"Neubrandenburg, Germany"
Sylvain Wiltord,Neuilly-sur-Marne
Sol Campbell,"Newham,England"
Rigobert Song,"Nkanglicock, Cameroon"
Samuel Eto'o,"Nkon,Cameroon"
Danny Mills,"Norwich, England"
Kevin Kuranyi,"Rio of Janeiro, Brazil"
Daniele De Rossi,"Roma, Italy"
Marco Di Vaio,"Roma,Italy"
Francesco Totti,"Rome, Italy"
Alessandro Nesta,"Rome, Italy"
Frank Lampard,"Romford, England"
Jon Dahl Tomasson,"Roskilde, Denmark"
Giovanni Van Bronckhorst,"Rotterdam , Netherlands"
David Trezeguet,"Rouen, France"
Luizao,"Rubineia,Brazil"
Jerzy Dudek,"Rybnik, Poland"
Deco,"So Bernardo do Campo,Brazil"
Robinho,"So Vicente,Brazil"
Bobby Robson,"Sacriston,England"
Nigel Martyn,"Saint-Austell, England"
Harry Kewell,"Sydney, Australia"
Cosmin Contra,"Timisoara , Romania"
Anders Andersson,"Tomelilla,Sweden"
Sven Goran Eriksson,"Torsby, Swden"
Dario Silva,"Treinta y Tres, Uruguay"
Ernesto Farias,"Trenque Lauquen,Argentina"
Wesley Sneijder,"Utrecht, Holland"
Marco Van Basten,"Utrecht, Holland"
Milan Baros,"Valassake Mezirici,Czech Republic"
Vicente,"Valencia, Spain"
Dmitry Alenichev,"Velike Luki,Russia"
Nicolas Anelka,"Versailles,France"
Mauro Rosales,"Villa Mara,Argentina"
Angelo Peruzzi,"Viterbo, Italy"
Edwin Van der Sar,"Voorhout, Holland"
Martin Petrov,"Vratza, Bulgaria"
Michael Carrick,"Wallsend, England"
Emmanuel Olisadebe,"Warri, Nigria"
Gareth Southgate,"Watford,England"
Ian Wright,"Woolwich,England"
Hidetoshi Nakata,"Yamanashi, Japan"
Shunsuke Nakamura,"Yokohama, Japan"
Dado Prso,"Zadar, Croatia"
Dario Simic,"Zagreb, Croatia"
Rafael Marquez,"Zamora, Mexico"
