Field,Laureate
Medicine,Robert B•À_r•À_ny•À_
The Nobel Peace Prize,No Nobel Prize was awarded this year. The prize money was allocated to the Special Fund of this prize section.
Chemistry,Richard Martin Willst•À_tter•À_
Literature,Romain Rolland•À_
Physics,Sir William Henry Bragg•À_
Physics,William Lawrence Bragg•À_
Medicine,No Nobel Prize was awarded this year. The prize money was allocated to the Special Fund of this prize section.
The Nobel Peace Prize,No Nobel Prize was awarded this year. The prize money was allocated to the Special Fund of this prize section.
Chemistry,No Nobel Prize was awarded this year. The prize money was allocated to the Special Fund of this prize section.
Literature,Carl Gustaf Verner von Heidenstam•À_
Physics,No Nobel Prize was awarded this year. The prize money was allocated to the Special Fund of this prize section.
Medicine,No Nobel Prize was awarded this year. The prize money was allocated to the Special Fund of this prize section.
The Nobel Peace Prize,No Nobel Prize was awarded this year. The prize money was allocated to the Special Fund of this prize section.
Chemistry,No Nobel Prize was awarded this year. The prize money was allocated to the Special Fund of this prize section.
Literature,Henrik Pontoppidan•À_
Literature,Karl Adolph Gjellerup•À_
Physics,Charles Glover Barkla•À_
Medicine,No Nobel Prize was awarded this year. The prize money was allocated to the Special Fund of this prize section.
The Nobel Peace Prize,Comit•À_ international de la Croix Rouge (International Committee of the Red Cross)•À_
Chemistry,Fritz Haber•À_
Literature,No Nobel Prize was awarded this year. The prize money was allocated to the Special Fund of this prize section.
Physics,Max Karl Ernst Ludwig Planck•À_
Medicine,No Nobel Prize was awarded this year. The prize money was allocated to the Special Fund of this prize section.
The Nobel Peace Prize,No Nobel Prize was awarded this year. The prize money was allocated to the Special Fund of this prize section.
Chemistry,No Nobel Prize was awarded this year. The prize money was allocated to the Special Fund of this prize section.
Literature,Carl Friedrich Georg Spitteler•À_
Physics,Johannes Stark•À_
Medicine,Jules Bordet•À_
The Nobel Peace Prize,Thomas Woodrow Wilson•À_
Chemistry,Walther Hermann Nernst•À_
Literature,Knut Pedersen Hamsun•À_
Physics,Charles Edouard Guillaume•À_
Medicine,Schack August Steenberg Krogh•À_
The Nobel Peace Prize,L•À_on Victor Auguste Bourgeois•À_
Chemistry,Frederick Soddy•À_
Literature,Anatole France•À_
Physics,Albert Einstein•À_
Medicine,No Nobel Prize was awarded this year. The prize money was allocated to the Special Fund of this prize section.
The Nobel Peace Prize,Christian Lous Lange•À_
The Nobel Peace Prize,Karl Hjalmar Branting•À_
Chemistry,Francis William Aston•À_
Literature,Jacinto Benavente•À_
Physics,Niels Henrik David Bohr•À_
Medicine,Archibald Vivian Hill•À_
Medicine,Otto Fritz Meyerhof•À_
The Nobel Peace Prize,Fridtjof Nansen•À_
Chemistry,Fritz Pregl•À_
Literature,William Butler Yeats•À_
Physics,Robert Andrews Millikan•À_
Medicine,Frederick Grant Banting•À_
Medicine,John James Rickard Macleod•À_
The Nobel Peace Prize,No Nobel Prize was awarded this year. The prize money was allocated to the Special Fund of this prize section.
Chemistry,No Nobel Prize was awarded this year. The prize money was allocated to the Special Fund of this prize section.
Literature,Wladyslaw Stanislaw Reymont•À_
Physics,Karl Manne Georg Siegbahn•À_
Medicine,Willem Einthoven•À_
The Nobel Peace Prize,No Nobel Prize was awarded this year. The prize money was allocated to the Special Fund of this prize section.
Chemistry,Richard Adolf Zsigmondy•À_
Literature,George Bernard Shaw•À_
Physics,Gustav Ludwig Hertz•À_
Physics,James Franck•À_
Medicine,No Nobel Prize was awarded this year. The prize money was allocated to the Special Fund of this prize section.
The Nobel Peace Prize,Charles Gates Dawes•À_
The Nobel Peace Prize,Sir Austen Chamberlain•À_
Chemistry,The (Theodor) Svedberg•À_
Literature,Grazia Deledda•À_
Physics,Jean Baptiste Perrin•À_
Medicine,Johannes Andreas Grib Fibiger•À_
The Nobel Peace Prize,Aristide Briand•À_
The Nobel Peace Prize,Gustav Stresemann•À_
Chemistry,Heinrich Otto Wieland•À_
Literature,Henri Bergson•À_
Physics,Arthur Holly Compton•À_
Physics,Charles Thomson Rees Wilson•À_
Medicine,Julius Wagner-Jauregg•À_
The Nobel Peace Prize,Ferdinand Buisson•À_
The Nobel Peace Prize,Ludwig Quidde•À_
Chemistry,Adolf Otto Reinhold Windaus•À_
Literature,Sigrid Undset•À_
Physics,Owen Willans Richardson•À_
Medicine,Charles Jules Henri Nicolle•À_
The Nobel Peace Prize,No Nobel Prize was awarded this year. The prize money was allocated to the Special Fund of this prize section.
Chemistry,Arthur Harden•À_
Chemistry,Hans Karl August Simon von Euler-Chelpin•À_
Literature,Thomas Mann•À_
Physics,Prince Louis-Victor Pierre Raymond de Broglie•À_
Medicine,Christiaan Eijkman•À_
Medicine,Sir Frederick Gowland Hopkins•À_
The Nobel Peace Prize,Frank Billings Kellogg•À_
Chemistry,Hans Fischer•À_
Literature,Sinclair Lewis•À_
Physics,Sir Chandrasekhara Venkata Raman•À_
Medicine,Karl Landsteiner•À_
The Nobel Peace Prize,Lars Olof Jonathan (Nathan) S•À_derblom•À_
Chemistry,Carl Bosch•À_
Chemistry,Friedrich Bergius•À_
Literature,Erik Axel Karlfeldt•À_
Physics,No Nobel Prize was awarded this year. The prize money was allocated to the Special Fund of this prize section.
Medicine,Otto Heinrich Warburg•À_
The Nobel Peace Prize,Jane Addams•À_
The Nobel Peace Prize,Nicholas Murray Butler•À_
Chemistry,Irving Langmuir•À_
Literature,John Galsworthy•À_
Physics,Werner Karl Heisenberg•À_
Medicine,Edgar Douglas Adrian•À_
Medicine,Sir Charles Scott Sherrington•À_
The Nobel Peace Prize,No Nobel Prize was awarded this year. The prize money was allocated to the Special Fund of this prize section.
Chemistry,No Nobel Prize was awarded this year. The prize money was with 1/3 allocated to the Main Fund and with 2/3 to the Special Fund of this prize section.
Literature,Ivan Alekseyevich Bunin•À_
Physics,Erwin Schr•À_dinger•À_
Physics,Paul Adrien Maurice Dirac•À_
Medicine,Thomas Hunt Morgan•À_
The Nobel Peace Prize,Sir Norman Angell (Ralph Lane)•À_
Chemistry,Harold Clayton Urey•À_
Literature,Luigi Pirandello•À_
Physics,No Nobel Prize was awarded this year. The prize money was with 1/3 allocated to the Main Fund and with 2/3 to the Special Fund of this prize section.
Medicine,George Hoyt Whipple•À_
Medicine,George Richards Minot•À_
Medicine,William Parry Murphy•À_
The Nobel Peace Prize,Arthur Henderson•À_
Chemistry,Fr•À_d•À_ric Joliot•À_
Chemistry,Ir•À_ne Joliot-Curie•À_
Literature,No Nobel Prize was awarded this year. The prize money was with 1/3 allocated to the Main Fund and with 2/3 to the Special Fund of this prize section.
Physics,James Chadwick•À_
Medicine,Hans Spemann•À_
The Nobel Peace Prize,Carl von Ossietzky•À_
Chemistry,Petrus (Peter) Josephus Wilhelmus Debye•À_
Literature,Eugene Gladstone O'Neill•À_
Physics,Carl David Anderson•À_
Physics,Victor Franz Hess•À_
Medicine,Otto Loewi•À_
Medicine,Sir Henry Hallett Dale•À_
The Nobel Peace Prize,Carlos Saavedra Lamas•À_
Chemistry,Paul Karrer•À_
Chemistry,Walter Norman Haworth•À_
Literature,Roger Martin du Gard•À_
Physics,Clinton Joseph Davisson•À_
Physics,George Paget Thomson•À_
Medicine,Albert von Szent-Gy•À_rgyi Nagyr•À_polt•À_
The Nobel Peace Prize,"Cecil of Chelwood, Viscount (Lord Edgar Algernon Robert Gascoyne Cecil)•À_"
Chemistry,Richard Kuhn•À_
Literature,Pearl Buck•À_
Physics,Enrico Fermi•À_
Medicine,Corneille Jean Fran•À_ois Heymans•À_
The Nobel Peace Prize,Office international Nansen pour les R•À_fugi•À_s (Nansen International Office for Refugees)•À_
Chemistry,Adolf Friedrich Johann Butenandt•À_
Chemistry,Leopold Ruzicka•À_
Literature,Frans Eemil Sillanp•À_•À_•À_
Physics,Ernest Orlando Lawrence•À_
Medicine,Gerhard Domagk•À_
The Nobel Peace Prize,No Nobel Prize was awarded this year. The prize money was with 1/3 allocated to the Main Fund and with 2/3 to the Special Fund of this prize section.
Chemistry,No Nobel Prize was awarded this year. The prize money was with 1/3 allocated to the Main Fund and with 2/3 to the Special Fund of this prize section.
Literature,No Nobel Prize was awarded this year. The prize money was with 1/3 allocated to the Main Fund and with 2/3 to the Special Fund of this prize section.
Physics,No Nobel Prize was awarded this year. The prize money was with 1/3 allocated to the Main Fund and with 2/3 to the Special Fund of this prize section.
Medicine,No Nobel Prize was awarded this year. The prize money was with 1/3 allocated to the Main Fund and with 2/3 to the Special Fund of this prize section.
The Nobel Peace Prize,No Nobel Prize was awarded this year. The prize money was with 1/3 allocated to the Main Fund and with 2/3 to the Special Fund of this prize section.
Chemistry,No Nobel Prize was awarded this year. The prize money was with 1/3 allocated to the Main Fund and with 2/3 to the Special Fund of this prize section.
Literature,No Nobel Prize was awarded this year. The prize money was with 1/3 allocated to the Main Fund and with 2/3 to the Special Fund of this prize section.
Physics,No Nobel Prize was awarded this year. The prize money was with 1/3 allocated to the Main Fund and with 2/3 to the Special Fund of this prize section.
Medicine,No Nobel Prize was awarded this year. The prize money was with 1/3 allocated to the Main Fund and with 2/3 to the Special Fund of this prize section.
The Nobel Peace Prize,No Nobel Prize was awarded this year. The prize money was with 1/3 allocated to the Main Fund and with 2/3 to the Special Fund of this prize section.
Chemistry,No Nobel Prize was awarded this year. The prize money was with 1/3 allocated to the Main Fund and with 2/3 to the Special Fund of this prize section.
Literature,No Nobel Prize was awarded this year. The prize money was with 1/3 allocated to the Main Fund and with 2/3 to the Special Fund of this prize section.
Physics,No Nobel Prize was awarded this year. The prize money was with 1/3 allocated to the Main Fund and with 2/3 to the Special Fund of this prize section.
Medicine,No Nobel Prize was awarded this year. The prize money was with 1/3 allocated to the Main Fund and with 2/3 to the Special Fund of this prize section.
The Nobel Peace Prize,No Nobel Prize was awarded this year. The prize money was with 1/3 allocated to the Main Fund and with 2/3 to the Special Fund of this prize section.
Chemistry,George de Hevesy•À_
Literature,No Nobel Prize was awarded this year. The prize money was with 1/3 allocated to the Main Fund and with 2/3 to the Special Fund of this prize section.
Physics,Otto Stern•À_
Medicine,Edward Adelbert Doisy•À_
Medicine,Henrik Carl Peter Dam•À_
The Nobel Peace Prize,No Nobel Prize was awarded this year. The prize money was with 1/3 allocated to the Main Fund and with 2/3 to the Special Fund of this prize section.
Chemistry,Otto Hahn•À_
Literature,Johannes Vilhelm Jensen•À_
Physics,Isidor Isaac Rabi•À_
Medicine,Herbert Spencer Gasser•À_
Medicine,Joseph Erlanger•À_
The Nobel Peace Prize,Comit•À_ international de la Croix Rouge (International Committee of the Red Cross)•À_
Chemistry,Artturi Ilmari Virtanen•À_
Literature,Gabriela Mistral•À_
Physics,Wolfgang Pauli•À_
Medicine,Ernst Boris Chain•À_
Medicine,Sir Alexander Fleming•À_
Medicine,Sir Howard Walter Florey•À_
The Nobel Peace Prize,Cordell Hull•À_
Chemistry,James Batcheller Sumner•À_
Chemistry,John Howard Northrop•À_
Chemistry,Wendell Meredith Stanley•À_
Literature,Hermann Hesse•À_
Physics,Percy Williams Bridgman•À_
Medicine,Hermann Joseph Muller•À_
The Nobel Peace Prize,Emily Greene Balch•À_
The Nobel Peace Prize,John Raleigh Mott•À_
Chemistry,Sir Robert Robinson•À_
Literature,Andr•À_ Paul Guillaume Gide•À_
Physics,Sir Edward Victor Appleton•À_
Medicine,Bernardo Alberto Houssay•À_
Medicine,Carl Ferdinand Cori•À_
Medicine,"Gerty Theresa Cori, n•À_e Radnitz•À_"
The Nobel Peace Prize,American Friends Service Committee (The Quakers)•À_
The Nobel Peace Prize,Friends Service Council (The Quakers)•À_
Chemistry,Arne Wilhelm Kaurin Tiselius•À_
Literature,Thomas Stearns Eliot•À_
Physics,Patrick Maynard Stuart Blackett•À_
Medicine,Paul Hermann M•À_ller•À_
The Nobel Peace Prize,No Nobel Prize was awarded this year. The prize money was with 1/3 allocated to the Main Fund and with 2/3 to the Special Fund of this prize section.
Chemistry,William Francis Giauque•À_
Literature,William Faulkner•À_
Physics,Hideki Yukawa•À_
Medicine,Antonio Caetano de Abreu Freire Egas Moniz•À_
Medicine,Walter Rudolf Hess•À_
The Nobel Peace Prize,Lord (John) Boyd Orr of Brechin•À_
Chemistry,Kurt Alder•À_
Chemistry,Otto Paul Hermann Diels•À_
Literature,Earl (Bertrand Arthur William) Russell•À_
Physics,Cecil Frank Powell•À_
Medicine,Edward Calvin Kendall•À_
Medicine,Philip Showalter Hench•À_
Medicine,Tadeus Reichstein•À_
The Nobel Peace Prize,Ralph Bunche•À_
Chemistry,Edwin Mattison McMillan•À_
Chemistry,Glenn Theodore Seaborg•À_
Literature,P•À_r Fabian Lagerkvist•À_
Physics,Ernest Thomas Sinton Walton•À_
Physics,Sir John Douglas Cockcroft•À_
Medicine,Max Theiler•À_
The Nobel Peace Prize,L•À_on Jouhaux•À_
Chemistry,Archer John Porter Martin•À_
Chemistry,Richard Laurence Millington Synge•À_
Literature,Fran•À_ois Mauriac•À_
Physics,Edward Mills Purcell•À_
Physics,Felix Bloch•À_
Medicine,Selman Abraham Waksman•À_
The Nobel Peace Prize,Albert Schweitzer•À_
Chemistry,Hermann Staudinger•À_
Literature,Sir Winston Leonard Spencer Churchill•À_
Physics,Frits Zernike•À_
Medicine,Fritz Albert Lipmann•À_
Medicine,Hans Adolf Krebs•À_
The Nobel Peace Prize,George Catlett Marshall•À_
Chemistry,Linus Carl Pauling•À_
Literature,Ernest Miller Hemingway•À_
Physics,Max Born•À_
Physics,Walther Bothe•À_
Medicine,Frederick Chapman Robbins•À_
Medicine,John Franklin Enders•À_
Medicine,Thomas Huckle Weller•À_
The Nobel Peace Prize,Office of the United Nations High Commissioner for Refugees (UNHCR)•À_
Chemistry,Vincent du Vigneaud•À_
Literature,Halld•À_r Kiljan Laxness•À_
Physics,Polykarp Kusch•À_
Physics,Willis Eugene Lamb•À_
Medicine,Axel Hugo Theodor Theorell•À_
The Nobel Peace Prize,No Nobel Prize was awarded this year. The prize money was allocated to the Special Fund of this prize section.
Chemistry,Nikolay Nikolaevich Semenov•À_
Chemistry,Sir Cyril Norman Hinshelwood•À_
Literature,Juan Ram•À_n Jim•À_nez•À_
Physics,John Bardeen•À_
Physics,Walter Houser Brattain•À_
Physics,William Bradford Shockley•À_
Medicine,Andr•À_ Fr•À_d•À_ric Cournand•À_
Medicine,Dickinson W. Richards•À_
Medicine,Werner Forssmann•À_
The Nobel Peace Prize,No Nobel Prize was awarded this year. The prize money was with 1/3 allocated to the Main Fund and with 2/3 to the Special Fund of this prize section.
Chemistry,Lord (Alexander R.) Todd•À_
Literature,Albert Camus•À_
Physics,Chen Ning Yang•À_
Physics,Tsung-Dao (T.D.) Lee•À_
Medicine,Daniel Bovet•À_
The Nobel Peace Prize,Lester Bowles Pearson•À_
Chemistry,Frederick Sanger•À_
Literature,Boris Leonidovich Pasternak•À_
Physics,Igor Yevgenyevich Tamm•À_
Physics,Il•À_ja Mikhailovich Frank•À_
Physics,Pavel Alekseyevich Cherenkov•À_
Medicine,Edward Lawrie Tatum•À_
Medicine,George Wells Beadle•À_
Medicine,Joshua Lederberg•À_
The Nobel Peace Prize,Georges Pire•À_
Chemistry,Jaroslav Heyrovsky•À_
Literature,Salvatore Quasimodo•À_
Physics,Emilio Gino Segr•À_•À_
Physics,Owen Chamberlain•À_
Medicine,Arthur Kornberg•À_
Medicine,Severo Ochoa•À_
The Nobel Peace Prize,Philip J. Noel-Baker•À_
Chemistry,Willard Frank Libby•À_
Literature,Saint-John Perse•À_
Physics,Donald Arthur Glaser•À_
Medicine,Peter Brian Medawar•À_
Medicine,Sir Frank Macfarlane Burnet•À_
The Nobel Peace Prize,Albert John Lutuli•À_
Chemistry,Melvin Calvin•À_
Literature,Ivo Andric•À_
Physics,Robert Hofstadter•À_
Physics,Rudolf Ludwig M•À_ssbauer•À_
Medicine,Georg von B•À_k•À_sy•À_
The Nobel Peace Prize,Dag Hjalmar Agne Carl Hammarskj•À_ld•À_
Chemistry,John Cowdery Kendrew•À_
Chemistry,Max Ferdinand Perutz•À_
Literature,John Steinbeck•À_
Physics,Lev Davidovich Landau•À_
Medicine,Francis Harry Compton Crick•À_
Medicine,James Dewey Watson•À_
Medicine,Maurice Hugh Frederick Wilkins•À_
The Nobel Peace Prize,Linus Carl Pauling•À_
Chemistry,Giulio Natta•À_
Chemistry,Karl Ziegler•À_
Literature,Giorgos Seferis•À_
Physics,Eugene Paul Wigner•À_
Physics,J. Hans D. Jensen•À_
Physics,Maria Goeppert Mayer•À_
Medicine,Alan Lloyd Hodgkin•À_
Medicine,Andrew Fielding Huxley•À_
Medicine,Sir John Carew Eccles•À_
The Nobel Peace Prize,Comit•À_ international de la Croix Rouge (International Committee of the Red Cross)•À_
The Nobel Peace Prize,Ligue des Soci•À_t•À_s de la Croix-Rouge (League of Red Cross Societies)•À_
Chemistry,Dorothy Crowfoot Hodgkin•À_
Literature,Jean-Paul Sartre•À_
Physics,Aleksandr Mikhailovich Prokhorov•À_
Physics,Charles Hard Townes•À_
Physics,Nicolay Gennadiyevich Basov•À_
Medicine,Feodor Lynen•À_
Medicine,Konrad Bloch•À_
The Nobel Peace Prize,Martin Luther King Jr.•À_
Chemistry,Robert Burns Woodward•À_
Literature,Mikhail Aleksandrovich Sholokhov•À_
Physics,Julian Schwinger•À_
Physics,Richard P. Feynman•À_
Physics,Sin-Itiro Tomonaga•À_
Medicine,Andr•À_ Lwoff•À_
Medicine,Fran•À_ois Jacob•À_
Medicine,Jacques Monod•À_
The Nobel Peace Prize,United Nations Children's Fund (UNICEF)•À_
Chemistry,Robert S. Mulliken•À_
Literature,Nelly Sachs•À_
Literature,Shmuel Yosef Agnon•À_
Physics,Alfred Kastler•À_
Medicine,Charles Brenton Huggins•À_
Medicine,Peyton Rous•À_
The Nobel Peace Prize,No Nobel Prize was awarded this year. The prize money was allocated to the Special Fund of this prize section.
Chemistry,George Porter•À_
Chemistry,Manfred Eigen•À_
Chemistry,Ronald George Wreyford Norrish•À_
Literature,Miguel Angel Asturias•À_
Physics,Hans Albrecht Bethe•À_
Medicine,George Wald•À_
Medicine,Haldan Keffer Hartline•À_
Medicine,Ragnar Granit•À_
The Nobel Peace Prize,No Nobel Prize was awarded this year. The prize money was with 1/3 allocated to the Main Fund and with 2/3 to the Special Fund of this prize section.
Chemistry,Lars Onsager•À_
Literature,Yasunari Kawabata•À_
Physics,Luis Walter Alvarez•À_
Medicine,Har Gobind Khorana•À_
Medicine,Marshall W. Nirenberg•À_
Medicine,Robert W. Holley•À_
The Nobel Peace Prize,Ren•À_ Cassin•À_
Chemistry,Derek H. R. Barton•À_
Chemistry,Odd Hassel•À_
Economic Sciences,Jan Tinbergen•À_
Economic Sciences,Ragnar Frisch•À_
Literature,Samuel Beckett•À_
Physics,Murray Gell-Mann•À_
Medicine,Alfred D. Hershey•À_
Medicine,Max Delbr•À_ck•À_
Medicine,Salvador E. Luria•À_
The Nobel Peace Prize,International Labour Organization (I.L.O.)•À_
Chemistry,Luis F. Leloir•À_
Economic Sciences,Paul A. Samuelson•À_
Literature,Aleksandr Isayevich Solzhenitsyn•À_
Physics,Hannes Olof G•À_sta Alfv•À_n•À_
Physics,Louis Eug•À_ne F•À_lix N•À_el•À_
Medicine,Julius Axelrod•À_
Medicine,Sir Bernard Katz•À_
Medicine,Ulf von Euler•À_
The Nobel Peace Prize,Norman E. Borlaug•À_
Chemistry,Gerhard Herzberg•À_
Economic Sciences,Simon Kuznets•À_
Literature,Pablo Neruda•À_
Physics,Dennis Gabor•À_
Medicine,"Earl W. Sutherland, Jr.•À_"
The Nobel Peace Prize,Willy Brandt•À_
Chemistry,Christian B. Anfinsen•À_
Chemistry,Stanford Moore•À_
Chemistry,William H. Stein•À_
Economic Sciences,John R. Hicks•À_
Economic Sciences,Kenneth J. Arrow•À_
Literature,Heinrich B•À_ll•À_
Physics,John Bardeen•À_
Physics,John Robert Schrieffer•À_
Physics,Leon Neil Cooper•À_
Medicine,Gerald M. Edelman•À_
Medicine,Rodney R. Porter•À_
The Nobel Peace Prize,No Nobel Prize was awarded this year. The prize money for 1972 was allocated to the Main Fund.
Chemistry,Ernst Otto Fischer•À_
Chemistry,Geoffrey Wilkinson•À_
Economic Sciences,Wassily Leontief•À_
Literature,Patrick White•À_
Physics,Brian David Josephson•À_
Physics,Ivar Giaever•À_
Physics,Leo Esaki•À_
Medicine,Karl von Frisch•À_
Medicine,Konrad Lorenz•À_
Medicine,Nikolaas Tinbergen•À_
The Nobel Peace Prize,Henry A. Kissinger•À_
The Nobel Peace Prize,Le Duc Tho•À_
Chemistry,Paul J. Flory•À_
Economic Sciences,Friedrich August von Hayek•À_
Economic Sciences,Gunnar Myrdal•À_
Literature,Eyvind Johnson•À_
Literature,Harry Martinson•À_
Physics,Antony Hewish•À_
Physics,Sir Martin Ryle•À_
Medicine,Albert Claude•À_
Medicine,Christian de Duve•À_
Medicine,George E. Palade•À_
The Nobel Peace Prize,Eisaku Sato•À_
The Nobel Peace Prize,Se•À_n MacBride•À_
Chemistry,John Warcup Cornforth•À_
Chemistry,Vladimir Prelog•À_
Economic Sciences,Leonid Vitaliyevich Kantorovich•À_
Economic Sciences,Tjalling C. Koopmans•À_
Literature,Eugenio Montale•À_
Physics,Aage Niels Bohr•À_
Physics,Ben Roy Mottelson•À_
Physics,Leo James Rainwater•À_
Medicine,David Baltimore•À_
Medicine,Howard Martin Temin•À_
Medicine,Renato Dulbecco•À_
The Nobel Peace Prize,Andrei Dmitrievich Sakharov•À_
Chemistry,William N. Lipscomb•À_
Economic Sciences,Milton Friedman•À_
Literature,Saul Bellow•À_
Physics,Burton Richter•À_
Physics,Samuel Chao Chung Ting•À_
Medicine,Baruch S. Blumberg•À_
Medicine,D. Carleton Gajdusek•À_
The Nobel Peace Prize,Betty Williams•À_
The Nobel Peace Prize,Mairead Corrigan•À_
Chemistry,Ilya Prigogine•À_
Economic Sciences,Bertil Ohlin•À_
Economic Sciences,James E. Meade•À_
Literature,Vicente Aleixandre•À_
Physics,John Hasbrouck van Vleck•À_
Physics,Philip Warren Anderson•À_
Physics,Sir Nevill Francis Mott•À_
Medicine,Andrew V. Schally•À_
Medicine,Roger Guillemin•À_
Medicine,Rosalyn Yalow•À_
The Nobel Peace Prize,Amnesty International•À_
Chemistry,Peter D. Mitchell•À_
Economic Sciences,Herbert A. Simon•À_
Literature,Isaac Bashevis Singer•À_
Physics,Arno Allan Penzias•À_
Physics,Pyotr Leonidovich Kapitsa•À_
Physics,Robert Woodrow Wilson•À_
Medicine,Daniel Nathans•À_
Medicine,Hamilton O. Smith•À_
Medicine,Werner Arber•À_
The Nobel Peace Prize,Menachem Begin•À_
The Nobel Peace Prize,Mohamed Anwar al-Sadat•À_
Chemistry,Georg Wittig•À_
Chemistry,Herbert C. Brown•À_
Economic Sciences,Sir Arthur Lewis•À_
Economic Sciences,Theodore W. Schultz•À_
Literature,Odysseus Elytis•À_
Physics,Abdus Salam•À_
Physics,Sheldon Lee Glashow•À_
Physics,Steven Weinberg•À_
Medicine,Allan M. Cormack•À_
Medicine,Godfrey N. Hounsfield•À_
The Nobel Peace Prize,Mother Teresa•À_
Chemistry,Frederick Sanger•À_
Chemistry,Paul Berg•À_
Chemistry,Walter Gilbert•À_
Economic Sciences,Lawrence R. Klein•À_
Literature,Czeslaw Milosz•À_
Physics,James Watson Cronin•À_
Physics,Val Logsdon Fitch•À_
Medicine,Baruj Benacerraf•À_
Medicine,George D. Snell•À_
Medicine,Jean Dausset•À_
The Nobel Peace Prize,Adolfo P•À_rez Esquivel•À_
Chemistry,Kenichi Fukui•À_
Chemistry,Roald Hoffmann•À_
Economic Sciences,James Tobin•À_
Literature,Elias Canetti•À_
Physics,Arthur Leonard Schawlow•À_
Physics,Kai M. Siegbahn•À_
Physics,Nicolaas Bloembergen•À_
Medicine,David H. Hubel•À_
Medicine,Roger W. Sperry•À_
Medicine,Torsten N. Wiesel•À_
The Nobel Peace Prize,Office of the United Nations High Commissioner for Refugees (UNHCR)•À_
Chemistry,Aaron Klug•À_
Economic Sciences,George J. Stigler•À_
Literature,Gabriel Garc•À_a M•À_rquez•À_
Physics,Kenneth G. Wilson•À_
