file;seed
SoccerPlayer2NationalTeam.csv;1793521221
SoccerPlayer2Position.csv;546369063
SoccerplayerToAllclub.txt;
soccerTeam2Arena.txt;-1016306512
soccerTeam2City.txt;2067745448
soccerTeam2Country.txt;-363384168
soccerTeam2League.txt;-1470399868
StateToAbbrv.csv;1302127474
SwiftToBankName.csv;378384405
SymbolToCompanyName.csv;-1003056877
TeamToCoach.txt;1610170064
TeamToManager.txt;1638374381
TennisPlayer2WonOpens_upTo2013.csv;
TickerToCompanyName.csv;-1446080250
TimeZoneToAbbrv.csv;1897032746
TitleYear2Artist.txt;-1935338174
UnescoSite2Location.csv;-1009441872
university2state.csv;-1534551824
university2state.txt;
UniversityTostate.csv;1057575255
USD2RUB.csv;
USDQAR.txt;
USStandardToMetric.csv;
videogame2Developer.csv;-1594786538
videogame2Publisher.csv;-16276314
videogameReleaseDate2Developer.csv;-1984322452
videogameReleaseDate2Publisher.csv;764805379
videogames2DeveloperCleaned.csv;-1891213377
Worldcupwinner2year.txt;
WorldRecordToAthlete.csv;
YearLaureateNobelPrizeField.csv;1779303498
YearNobelPrizeFieldLaureate.csv;-672826131
YearNobelPrizeLaureate.csv;1090483892
zipCity2country.txt;1196950413
zipCityToCountry.txt;-808736668
ZipToCity.csv;-1103363427
ZipToState.csv;-1614650426
