bank,city,branch,swiftcode
JOINT STOCK COMMERCIAL BANK FOR FOREIGN TRADE OF VIETNAM,BIEN HOA,(BIEN HOA BRANCH),BFTVVNVX048
LA BANQUE POSTALE,NANTES,,PSSTFRPPNTE
FIRST CITIZENS BANK AND TRUST CO.,"RALEIGH,NC",,FCBTUS33XXX
BANK OF KHANTY-MANSIYSK OAO,ST. PETERSBURG,(SAINT-PETERSBURG BRANCH),KHANRUMM008
GE MONEY BANK,RIGA,,BATRLV2XXXX
ORBEO,PARIS,,ORBEFRPPXXX
EGYPTIAN ARAB LAND BANK,ARISH,,ARLBEGCAARI
BANQUE EXTERIEURE D'ALGERIE,ALGIERS,(AGENCE CHERAGA VILLE),BEXADZAL004
CENTROKREDIT BANK,MOSCOW,,CKBBRUMMXXX
AUSTRALIA AND NEW ZEALAND BANKING GROUP LIMITED,TOKYO,,ANZBJPJXXXX
BANCA CARIGE SPA,NICE,,CRGEFR2XXXX
CAISSE D'EPARGNE DE HAUTE NORMANDIE,ROUEN,,CEPAFRPP769
"SUMITOMO TRUST AND BANKING COMPANY, LTD., THE",TOKYO,,STBCJPJTXXX
"CITADEL INVESTMENT GROUP, L.L.C.","CHICAGO,IL",(BRANCH),CITGUS44KFI
"CITADEL INVESTMENT GROUP, L.L.C.","CHICAGO,IL",(BRANCH),CITGUS44EVL
EXPORT DEVELOPMENT BANK OF EGYPT,CAIRO,,EXDEEGCXXXX
CAISSE D'EPARGNE LOIRE CENTRE,ORLEANS,,CEPAFRPP450
ARAB AFRICAN INTERNATIONAL BANK,CAIRO,(10TH RAMADAN BRANCH),ARAIEGCXASH
BANQUE EXTERIEURE D'ALGERIE,EL-OUED,(AGENCE EL-OUED),BEXADZAL094
BROWN BROTHERS HARRIMAN SECURITIES INVESTMENT MANAGEMENT (JAPAN) INC.,TOKYO,,BBHCJPJTXXX
ARAB BANK PLC,CAIRO,(EL-TAHRIR BRANCH),ARABEGCXTHR
BFG-CREDIT BANK,MOSCOW,,BFGBRUMMXXX
EGYPTIAN ARAB LAND BANK,EL ZAGAZIG,,ARLBEGCAZAG
BANCO BILBAO VIZCAYA ARGENTARIA TOKYO BRANCH,TOKYO,,BBVAJPJTXXX
"BANK OF AMERICA, TOKYO",TOKYO,(TOKYO BRANCH),BOFAJPJXXXX
BANCO ESTADO DE CHILE NEW YORK BRANCH.,"NEW YORK,NY",,BECHUS33XXX
INDOVINA BANK LTD.,HO CHI MINH CITY,,IABBVNVXXXX
EXPORT DEVELOPMENT BANK OF EGYPT,THE TENTH OF RAMADAN,(RAMADAN BRANCH),EXDEEGCXRAM
HOUSING BANK OF MEKONG DELTA (MHB)-HEAD OFFICE,HO CHI MINH CITY,,MHBBVNVXXXX
ALWATANY BANK OF EGYPT,CAIRO,(GIZA - AL HARAM BRANCH),WABAEGCXHAR
"BANK OF YOKOHAMA, LTD., THE",TOKYO,,HAMAJPJTXXX
ALWATANY BANK OF EGYPT,6TH OF OCTOBER,(6TH OF OCTOBER BRANCH),WABAEGCXOCT
"CITADEL INVESTMENT GROUP, L.L.C.","CHICAGO,IL",(BRANCH),CITGUS44CFL
BLOM BANK EGYPT S.A.E.,CAIRO,(OROUBA),MRBAEGCX021
PRIME SECURITIES BROKERAGE CO.,GIZA,,PSBREGCAXXX
BANK HAPOALIM B.M.,"WASHINGTON,DC",(GEORGETOWN BRANCH),POALUS33GTN
KBC BANK NV PARIS,PARIS,,KREDFRPPXXX
ABC INTERNATIONAL BANK PARIS BRANCH,PARIS,,ABCOFRPPXXX
SOCIETE ARABE INTERNATIONALE DE BANQUE,THE TENTH OF RAMADAN,(THE TENTH OF RAMADAN BRANCH),SBNKEGCXASH
BANK PRIME FINANCE,ST. PETERSBURG,,PRFNRU2PXXX
NATIXIS,NANTES,,CCBPFRPP927
MISR IRAN DEVELOPMENT BANK,PORT SAID,(PORT SAID BRANCH),MIDBEGCXPTS
CHINFON COMMERCIAL BANK,HANOI,,CFCBVNVXXXX
SAMBA TADAWOL MISR BROKERAGE,GIZA,,STMPEGCAXXX
BMI BANK B.S.C. QATAR BRANCH,DOHA,,BMUSQAQAXXX
MULTI ACCES BANQUE,PARIS,,CCBPFRPPMAB
DOHA BANK,DOHA,(MUSHAIREB BRANCH - DOHA CITY),DOHBQAQAMSB
"CITADEL INVESTMENT GROUP, L.L.C.","CHICAGO,IL",(BRANCH),CITGUS44CID
ARAB INTERNATIONAL BANK,CAIRO,(SARWAT BRANCH),ARIBEGCX007
AUERBANK,MOSCOW,,AUERRUMMXXX
BANCOMER TRANSFER SERVICES INC.,"HOUSTON,TX",(BANCOMER TRANSFER SERVICES),BTSIUS44BTS
AL KHALIJ COMMERCIAL BANK,DOHA,,KLJIQAQAXXX
"BANK OF CHINA, PARIS BRANCH",PARIS,,BKCHFRPP013
HSBC FRANCE,RUNGIS,,CCFRFRPP089
IMERYS SA,PARIS,,IMERFRPPXXX
SG ASSET MANAGEMENT,PARIS,,SGAMFRPPADO
FIDUCIARY TRUST COMPANY INTERNATIONAL,"NEW YORK,NY",,FCNYUS33FTF
AHLI UNITED BANK (EGYPT) S.A.E.,CAIRO,,DEIBEGCXXXX
FAISAL ISLAMIC BANK OF EGYPT,ASWAN,(ASWAN BRANCH),FIEGEGCXASW
BNP PARIBAS S.A. - TOKYO BRANCH,TOKYO,,BNPAJPJTXXX
BANK FOR INVESTMENT AND DEVELOPMENT OF VIETNAM,HUE CITY,(HUE BRANCH),BIDVVNVX551
NATIONAL BANK FOR DEVELOPMENT,DAMANHOUR,(DAMANHOUR BRANCH),NBDEEGCXDMN
AGROSOYUZ BANK,ORENBURG,,AGSZRU33XXX
ODDO ET CIE,PARIS,,ODDOFRPPOAM
"BANK OF SAGA, LTD., THE",TOKYO,,BKSGJPJTXXX
ARAB BANK PLC,ALEXANDRIA,(ALEXANDRIA BRANCH),ARABEGCXALX
ACUPAY SYSTEM LLC,"NEW YORK,NY",,ACPYUS33XXX
BANQUE CENTRALE DE COMPENSATION - LCH.CLEARNET SA,PARIS,,BACPFRPPASI
FIRST NATIONAL BANK,"OMAHA,NE",,FNBOUS44XXX
ASIAN-PACIFIC BANK,BLAGOVESHCHENSK,,ASANRU8XXXX
HSBC FRANCE,PARIS,,LUBPFRPPXXX
CPR ASSET MANAGEMENT,PARIS,,CPRMFRPPXXX
CALYON (FORMERLY CREDIT LYONNAIS RUSBANK),ST. PETERSBURG,,CRLYRU2PXXX
DEXIA MUNICIPAL AGENCY PARIS,PARIS,,DXMAFRPPXXX
FIDELITY SERVICE CO,"BOSTON,MA",(CASH AND FUNDS OVERSIGHT OPERATIONS),FIDQUS3BCFO
PRINCIPAL BANK FOR DEVELOPMENT AND AGRICULTURAL CREDIT,KENA,(KENA BRANCH),BDACEGCA096
COMPAGNIE DE FINANCEMENT FONCIER,PARIS,,CFFOFRPPXXX
BANQUE THEMIS (FORMERLY BANQUE DE L'ILE DE FRANCE - B.D.E.I.),PARIS,,BDEIFRPPXXX
CACEIS BANK,PARIS,,ISAEFRPPMID
"CITADEL INVESTMENT GROUP, L.L.C.","CHICAGO,IL",(BRANCH),CITGUS44AAM
DAIWA SECURITIES CAPITAL MARKETS CO.LTD.,TOKYO,(JAPANESE EQUITIES),DWSCJPJTEQU
"TAMA SHINKIN BANK, THE",TOKYO,,TAMAJPJTXXX
BANK FOR INVESTMENT AND DEVELOPMENT OF VIETNAM,YEN BAI,(YEN BAI BRANCH),BIDVVNVX371
"CITADEL INVESTMENT GROUP, L.L.C.","CHICAGO,IL",(BRANCH),CITGUS44CFC
HABIB BANK LIMITED,PARIS,,HABBFRPPXXX
HOUSING DEVELOPMENT COMMERCIAL J.S. BANK - HCMC,HO CHI MINH CITY,,HDBCVNVXXXX
ROTHSCHILD AND CIE BANQUE,PARIS,,RCBPFRPPXXX
ALJAZEERA EXCHANGE COMPANY,DOHA,,AEXCQAQAXXX
AIG INTERNATIONAL INC.,"WILTON,CT",,AIGIUS33XXX
AVTOVAZBANK OPEN JOINT-STOCK COMPANY,TOGLIATTI,(HEAD OFFICE),AVBKRU3TXXX
CENTRAL BANK OF EGYPT CAIRO,CAIRO,(BOOK ENTRY SYSTEM TEST AND TRAINNING),CBEGEGCABES
ACCENTURE INSURANCE SERVICES,MAISONS LAFFITTE,,ACIVFRPPXXX
BANK OF KHANTY-MANSIYSK OAO,RADUZHNY,(RADUZHNY BRANCH),KHANRUMM011
CASDEN-BANQUE POPULAIRE,NOISIEL,,CCBPFRPPCAS
HSBC BANK (VIETNAM) LTD.,HO CHI MINH CITY,,HSBCVNVXXXX
PAREL,PARIS,,PAREFRPPCCL
SHINHAN BANK JAPAN,FUKUOKA,(FUKUOKA BRANCH),SHBKJPJXFUK
BANK OF KHANTY-MANSIYSK OAO,LANGEPAS,(LANGEPAS BRANCH),KHANRUMM012
GOLDMAN SACHS ASSET MANAGEMENT,"NEW YORK,NY",,GSAMUS33GSS
BANK LEUMI USA,"NEW YORK,NY",,LUMIUS3NXXX
BANK FOR INVESTMENT AND DEVELOPMENT OF VIETNAM,LANG SON,(LANG SON BRANCH),BIDVVNVX351
AVERS BANK,KAZAN,,BKAVRU2KXXX
SOCIETE MARSEILLAISE DE CREDIT,VALENCE,,SMCTFR2AVAL
ARAB AFRICAN INTERNATIONAL BANK,CAIRO,,ARAIEGCXGRD
LA BANQUE POSTALE,GRENOBLE,,PSSTFRPPGRE
EUROCLEAR FRANCE,PARIS,,ECLNFRPPLL1
BANQUE SAFRA,PARIS,,BSAFFRPPXXX
BNP PARIBAS SECURITIES SERVICES,PARIS,,PARBFRPHXXX
CAPITAL RESEARCH AND MANAGEMENT COMPANY,"BREA,CA",,CRMCUS66XXX
NATIONAL BANK OF ABU DHABI,ALEXANDRIA,(SPORTING BRANCH),NBADEGCASPT
EUROPEENE DE GESTION PRIVEE,BORDEAUX,,EUGPFR22XXX
FIRST TENNESSEE BANK N.A.,"MEMPHIS,TN",(FTN SECURITY CORP),FTBMUS44SEC
"JPMORGAN CHASE BANK, N.A.",PARIS,,CHASFRPPGMO
NATIXIS SECURITIES,PARIS,,IXIRFRPPXXX
BANQUE EXTERIEURE D'ALGERIE,ALGIERS,(AGENCE PALIS DES EXPOSITIONS),BEXADZAL016
GOLDMAN SACHS BANK USA (FORMERLY THE GOLDMAN SACHS TRUST COMPANY),"JERSEY CITY,NJ",(FUND ADMINISTRATION SERVICES),GSTRUS33FAS
BANQUE EXTERIEURE D'ALGERIE,BORDJ,(AGENCE BORDJ),BEXADZAL058
HORIZON SECURITY BROKERAGE COMPANY,CAIRO,,HORZEGCAXXX
EUROCOMMERCE BANK,NALCHIK,,ECOMRU22XXX
COUNCIL OF EUROPE DEVELOPMENT BANK,PARIS,,CEFPFRPPXXX
PASHTANY BANK,KABUL,,PIBAAFKAXXX
CENTRAL BANK OF EGYPT CAIRO,CAIRO,(CBE AS AN ASA),CBEGEGCXASA
SG ASSET MANAGEMENT,PARIS,,SGAMFRPPALT
FAISAL ISLAMIC BANK OF EGYPT,DAMANHOUR,(DAMANHOUR BRANCH),FIEGEGCXDMN
ARAB AFRICAN INTERNATIONAL BANK,CAIRO,(MOHANDSEEN BRANCH),ARAIEGCXMOH
"CITADEL INVESTMENT GROUP, L.L.C.","CHICAGO,IL",(BRANCH),CITGUS44GLC
BANQUE DE GESTION PRIVEE-SIB,PARIS,,SIBLFRPPSCM
CAISSE D'EPARGNE DE BRETAGNE,CESSON SEVIGNE,,CEPAFRPP222
HSBC FRANCE,STRASBOURG,,CCFRFRPP260
CLF BANQUE,PARIS,,CLBQFRCCXXX
LATVIJAS PASTA BANKA,RIGA,,LAPBLV2XXXX
CAP GEMINI SERVICE SAS,PARIS,,CAPGFRPPXXX
SOCIETE ARABE INTERNATIONALE DE BANQUE,CAIRO,(HELIOPOLIS BRANCH),SBNKEGCXHLP
ODDO ET CIE,PARIS,,ODDOFRPPFEC
ARAB BANKING CORPORATION EGYPT,CAIRO,(BOSTAN BRANCH),EAABEGCX003
METROPOLE GESTION,PARIS,,METGFRP2XXX
ELNOUR SECURITIES,GIZA,,NOUREGCAXXX
BANQUE EXTERIEURE D'ALGERIE,ORAN,(ORAN EL DJAMEL),BEXADZAL081
GROUPAMA ASSET MANAGEMENT,PARIS,,GPAMFRPPXXX
AHLI UNITED BANK (EGYPT) S.A.E.,EL MANSOURA,(EL MANSOURA BRANCH),DEIBEGCX518
"GOLDMAN, SACHS AND CO.","NEW YORK,NY",,GOLDUS33XXX
"CITADEL INVESTMENT GROUP, L.L.C.","CHICAGO,IL",(BRANCH),CITGUS44CTD
"COMMERCIAL BANK OF QATAR, LTD.",DOHA,,CBQAQAQAXXX
ENERGOBANK,KAZAN,,TRCBRU2KXXX
GENERAL ELECTRIC COMPANY,"STAMFORD,CT",,GENEUS33DEL
BANQUE EXTERIEURE D'ALGERIE,ANNABA,(AGENCE ANNABA ASMIDAL),BEXADZAL077
CHELINDBANK,KYSHTYM,(KYSHTYMSKIJ BRANCH),CHLBRU4C743
ARES MANAGEMENT LLC,"LOS ANGELES,CA",,ARNLUS66XXX
ARAB BANK PLC,6TH OF OCTOBER,(6TH OF OCTOBER BRANCH),ARABEGCXOCT
"SHINWA BANK, LTD. THE",SASEBO,,SHWAJPJTXXX
DEPOSITORY CLEARING COMPANY,MOSCOW,,DCLCRUMMXXX
EGYPTIAN ARAB LAND BANK,TANTA,,ARLBEGCATNT
BANQUE EXTERIEURE D'ALGERIE,ALGIERS,(DIRECTION DU COMMERCE EXTERIEUR),BEXADZALDCE
VINCI CONSTRUCTION FRANCE,NANTERRE,,VCFRFRPPXXX
SHINKIN CENTRAL BANK,TOKYO,,ZENBJPJ2XXX
PAREL,PARIS,,PAREFRPPGDU
BANK FOR INVESTMENT AND DEVELOPMENT OF VIETNAM,THANH MOA,(THANH MOA BRANCH),BIDVVNVX501
GOLDMAN SACHS BANK USA (FORMERLY THE GOLDMAN SACHS TRUST COMPANY),"NEW YORK,NY",(NO CASH DEPT.),GSTRUS33BOS
NATIONAL BANK OF EGYPT,CAIRO,,NBEGEGCXXXX
SOCIETE MARSEILLAISE DE CREDIT,PERPIGNAN,,SMCTFR2APER
BTA BANK LLS,MOSCOW,,ITASRUMMXXX
"CHARLES SCHWAB AND CO., INC.","SAN FRANCISCO,CA",(PFX),CSCHUS6SPFX
CJSC UNICREDIT SECURITIES,MOSCOW,,UCSRRUMMXXX
PRINCIPAL BANK FOR DEVELOPMENT AND AGRICULTURAL CREDIT,CAIRO,(CAIRO BRANCH),BDACEGCA001
CACEIS BANK,PARIS,,ISAEFRPPXXX
ARAB INVESTMENT BANK,CAIRO,(GIZA BRANCH),AINBEGCAGIZ
BANQUE LAYDERNIER,ANNECY,,LAYDFR2WXXX
FIRST NATIONS BANK,"CHICAGO,IL",,FNBWUS44XXX
"SHINSEI BANK, LTD.",TOKYO,,LTCBJPJTXXX
NATIXIS,ROISSY EN FRANCE,,CCBPFRPP903
"CITADEL INVESTMENT GROUP, L.L.C.","CHICAGO,IL",(BRANCH),CITGUS44KXH
FINANCIAL STANDARD CB OOO,MOSCOW,,COLDRUMMXXX
CREDIT AGRICOLE CHEUVREUX,COURBEVOIE,,CHVIFRPPBOF
LA BANQUE POSTALE,PARIS,,PSSTFRPPFDF
BANQUE D'ESCOMPTE,PARIS,,ESCBFRPPBDF
SEB BANKA,RIGA,,UNLALV2XXXX
"FIRST REPUBLIC BANK, A BANK IN ORGANIZATION","SAN FRANCISCO,CA",,FRBBUS6SXXX
QATAR TELECOM (QTEL) Q.S.C,DOHA,,QTELQAQAXXX
"JPMORGAN CHASE BANK, N.A.",PARIS,,CHASFRPPKEY
ARAB BANK PLC,GIZA,(EL-THAWRA BRANCH),ARABEGCXSAW
EGYPTIAN ARAB LAND BANK,CAIRO,(MOHADESSEN BRANCH),ARLBEGCAMOH
"SAN-IN GODO BANK, LTD., THE",MATSUE,,SGBKJPJTMAT
EGYPTIAN SAUDI FINANCE BANK,GIZA,(TEST KEY DEPARTMENT),TAMSEGCATKY
FOSTER BANK,"CHICAGO,IL",,FBNKUS44XXX
BANQUE EXTERIEURE D'ALGERIE,HASSI-R'MEL,(AGENCE HASSI-R'MEL),BEXADZAL083
BANQUE MISR,CAIRO,(KASR EL NIL BRANCH),BMISEGCX107
SOCIETE MARSEILLAISE DE CREDIT,GRASSE,,SMCTFR2AGRA
"OKASAN SECURITIES CO., LTD.",TOKYO,,OKASJPJTXXX
FAISAL ISLAMIC BANK OF EGYPT,ALEXANDRIA,(ALEXANDRIA BRANCH),FIEGEGCXALX
ARAB INTERNATIONAL BANK,CAIRO,(MOHANDISEEN BRANCH),ARIBEGCX008
BANQUE EXTERIEURE D'ALGERIE,ALGIERS,(AGENCE EL HARRACH),BEXADZAL030
"DEUTSCHE BANK, HO CHI MINH CITY BRANCH",HO CHI MINH CITY,,DEUTVNVXXXX
FIDUCIARY TRUST COMPANY INTERNATIONAL,"NEW YORK,NY",( CLS),FCNYUS33MX4
"BANK NEGARA INDONESIA (PERSERO), PT., TOKYO BRANCH",TOKYO,,BNINJPJTXXX
DEXIA BANK CJSC,MOSCOW,,IKBARUMMXXX
"BANK OF AMERICA, N.A.","CHARLOTTE,NC","(BANK OF AMERICA SECURITIES AUSTRALIA LIMITED, BAS AUSTRALIA)",BOFAUS3DAU2
EXPORT DEVELOPMENT BANK OF EGYPT,GIZA,(NILE BRANCH),EXDEEGCXNIL
"GOLDMAN, SACHS AND CO.","NEW YORK,NY",,GOLDUS33007
EGYPTIAN GULF BANK,GIZA,(PAY),EGGBEGCAPAY
STATE STREET BANK AND TRUST COMPANY,TOKYO,,SBOSJPJXXXX
EGYPTIAN ARAB LAND BANK,CAIRO,(MASHHADY BRANCH),ARLBEGCAMOF
PIONEERS SECURITIES,CAIRO,,PONREGCAXXX
BANQUE EXTERIEURE D'ALGERIE,BOUMERDES,(AGENCE ROUIBA),BEXADZAL006
PRINCIPAL BANK FOR DEVELOPMENT AND AGRICULTURAL CREDIT,ALEXANDRIA,(ALEXANDRIA BRANCH),BDACEGCA003
"CITADEL INVESTMENT GROUP, L.L.C.","CHICAGO,IL",(BRANCH),CITGUS44CAM
BANQUE MISR,PORT SAID,(PORT SAID BRANCH),BMISEGCX413
NATIXIS,SAINT QUENTIN EN YVELINES,,CCBPFRPP907
CHELYABINVESTBANK,CHELYABINSK,,CHINRU4CXXX
HA BROKERAGE COMPANY,GIZA,,HABCEGCAXXX
BANCOMER TRANSFER SERVICES INC.,"HOUSTON,TX",,BTSIUS44XXX
PAREL,PARIS,,PAREFRPPXXX
BLOM BANK EGYPT S.A.E.,6TH OF OCTOBER,(6 TH OCTOBER),MRBAEGCX014
CHELINDBANK,CHELYABINSK,(RUSSIAN ROUBLES OPERATIONS),CHLBRU4CRUR
BANCO ESPANOL DE CREDITO,"NEW YORK,NY",,ESPCUS3NXXX
NATIONAL BANK OF ABU DHABI,CAIRO,(GIZA BRANCH),NBADEGCAGZA
ALWATANY BANK OF EGYPT,ALEXANDRIA,(ALEXANDRIA BRANCH FOR ISLAMIC OPERATION),WABAEGCXRML
SUEZ SA,PARIS,,SUFIFRPPXXX
NATIONAL BANK OF ABU DHABI,EL MANSOURA,(MANSOURA BRANCH),NBADEGCAMNS
BANQUE DE FRANCE,PARIS,,BDFEFR2TXXX
