"Name","Year","Category","Also Known As",""
"Bert Sakmann","1991","medicine","null","null"
"Erwin Neher","1991","medicine","null","null"
"Nadine Gordimer","1991","literature","null","null"
"Pierre-Gilles de Gennes","1991","physics","null","null"
"Richard R. Ernst","1991","chemistry","null","null"
"Ronald H. Coase","1991","economics","null","null"
"Derek Walcott","1992","literature","null","null"
"Edmond H. Fischer","1992","medicine","null","null"
"Edwin G. Krebs","1992","medicine","null","null"
"Gary S. Becker","1992","economics","null","null"
"Georges Charpak","1992","physics","null","null"
"Rigoberta Menchú Tum","1992","peace","null","null"
"Rudolph A. Marcus","1992","chemistry","null","null"
"Douglass C. North","1993","economics","null","null"
"F. W. de Klerk","1993","peace","(Frederik, Willem)","null"
"Joseph H. Taylor Jr.","1993","physics","null","null"
"Kary B. Mullis","1993","chemistry","null","null"
"Michael Smith","1993","chemistry","null","null"
"Nelson Mandela","1993","peace","null","null"
"Phillip A. Sharp","1993","medicine","null","null"
"Richard J. Roberts","1993","medicine","null","null"
"Robert W. Fogel","1993","economics","null","null"
"Russell A. Hulse","1993","physics","null","null"
"Toni Morrison","1993","literature","(Chloe, Ardelia)","null"
"Alfred G. Gilman","1994","medicine","null","null"
"Bertram N. Brockhouse","1994","physics","null","null"
"Clifford G. Shull","1994","physics","null","null"
"George A. Olah","1994","chemistry","null","null"
"John C. Harsanyi","1994","economics","null","null"
"John F. Nash Jr.","1994","economics","null","null"
"Oe Kenzaburo","1994","literature","null","null"
"Martin Rodbell","1994","medicine","null","null"
"Reinhard Selten","1994","economics","null","null"
"Shimon Peres","1994","peace","null","null"
"Yasser Arafat","1994","peace","null","null"
"Yitzhak Rabin","1994","peace","null","null"
"Christiane Nüsslein-Volhard","1995","medicine","null","null"
"Edward B. Lewis","1995","medicine","null","null"
"Eric F. Wieschaus","1995","medicine","null","null"
"Frederick Reines","1995","physics","null","null"
"Joseph Rotblat","1995","peace","null","null"
"Mario J. Molina","1995","chemistry","null","null"
"Martin L. Perl","1995","physics","null","null"
"Paul J. Crutzen","1995","chemistry","null","null"
"Robert E. Lucas Jr.","1995","economics","null","null"
"Seamus Heaney","1995","literature","null","null"
"F. Sherwood Rowland","1995","chemistry","null","null"
"Carlos Filipe Ximenes Belo","1996","peace","null","null"
"David M. Lee","1996","physics","null","null"
"Douglas D. Osheroff","1996","physics","null","null"
"Sir Harold W. Kroto","1996","chemistry","null","null"
"James A. Mirrlees","1996","economics","null","null"
"José Ramos-Horta","1996","peace","null","null"
"Peter C. Doherty","1996","medicine","null","null"
"Richard E. Smalley","1996","chemistry","null","null"
"Robert F. Curl Jr.","1996","chemistry","null","null"
"Robert C. Richardson","1996","physics","null","null"
"Rolf M. Zinkernagel","1996","medicine","null","null"
"William Vickrey","1996","economics","null","null"
"Wisława Szymborska","1996","literature","null","null"
"Claude Cohen-Tannoudji","1997","physics","null","null"
"Dario Fo","1997","literature","null","null"
"Jens C. Skou","1997","chemistry","null","null"
"Jody Williams","1997","peace","null","null"
"John E. Walker","1997","chemistry","null","null"
"Myron S. Scholes","1997","economics","null","null"
"Paul D. Boyer","1997","chemistry","null","null"
"Robert C. Merton","1997","economics","null","null"
"Stanley B. Prusiner","1997","medicine","null","null"
"Steven Chu","1997","physics","null","null"
"William D. Phillips","1997","physics","null","null"
"Amartya Sen","1998","economics","null","null"
"Daniel C. Tsui","1998","physics","null","null"
"David Trimble","1998","peace","null","null"
"Ferid Murad","1998","medicine","null","null"
"Horst L. Störmer","1998","physics","null","null"
"John Hume","1998","peace","null","null"
"John A. Pople","1998","chemistry","null","null"
"José Saramago","1998","literature","null","null"
"Louis J. Ignarro","1998","medicine","null","null"
"Robert F. Furchgott","1998","medicine","null","null"
"Robert B. Laughlin","1998","physics","null","null"
"Walter Kohn","1998","chemistry","null","null"
"Ahmed H. Zewail","1999","chemistry","null","null"
"Gerardus 't Hooft","1999","physics","null","null"
"Günter Blobel","1999","medicine","null","null"
"Günter Grass","1999","literature","null","null"
"Martinus J. G. Veltman","1999","physics","null","null"
"Robert A. Mundell","1999","economics","null","null"
"Alan J. Heeger","2000","chemistry","null","null"
"Alan G. MacDiarmid","2000","chemistry","null","null"
"Arvid Carlsson","2000","medicine","null","null"
"Daniel L. McFadden","2000","economics","null","null"
"Eric R. Kandel","2000","medicine","null","null"
"Herbert Kroemer","2000","physics","null","null"
"Shirakawa Hideki","2000","chemistry","null","null"
"Jack S. Kilby","2000","physics","null","null"
"James J. Heckman","2000","economics","null","null"
"Kim Dae-jung","2000","peace","null","null"
"Paul Greengard","2000","medicine","null","null"
"Gao Xingjian","2000","literature","null","null"
"Zhores I. Alferov","2000","physics","null","null"
"K. Barry Sharpless","2001","chemistry","null","null"
"Carl E. Wieman","2001","physics","null","null"
"George A. Akerlof","2001","economics","null","null"
"Joseph E. Stiglitz","2001","economics","null","null"
"Kofi Annan","2001","peace","null","null"
"Leland H. Hartwell","2001","medicine","null","null"
"A. Michael Spence","2001","economics","null","null"
"Sir Paul M. Nurse","2001","medicine","null","null"
"Noyori Ryoji","2001","chemistry","null","null"
"R. Timothy Hunt","2001","medicine","(Tim)","null"
"Vidiadhar S. Naipaul","2001","literature","null","null"
"William S. Knowles","2001","chemistry","null","null"
"Wolfgang Ketterle","2001","physics","null","null"
"Daniel Kahneman","2002","economics","null","null"
"Imre Kertész","2002","literature","null","null"
"James Earl Carter Jr.","2002","peace","(Jimmy)","null"
"John B. Fenn","2002","chemistry","null","null"
"John E. Sulston","2002","medicine","null","null"
"Koichi Tanaka","2002","chemistry","null","null"
"Kurt Wüthrich","2002","chemistry","null","null"
"Koshiba Masatoshi","2002","physics","null","null"
"Raymond Davis Jr.","2002","physics","null","null"
"Riccardo Giacconi","2002","physics","null","null"
"H. Robert Horvitz","2002","medicine","null","null"
"Sydney Brenner","2002","medicine","null","null"
"Vernon L. Smith","2002","economics","null","null"
"Alexei A. Abrikosov","2003","physics","null","null"
"Anthony J. Leggett","2003","physics","null","null"
"Clive W. J. Granger","2003","economics","null","null"
"John Maxwell Coetzee","2003","literature","null","null"
"Paul C. Lauterbur","2003","medicine","null","null"
"Peter Agre","2003","chemistry","null","null"
"Sir Peter Mansfield","2003","medicine","null","null"
"Robert F. Engle","2003","economics","null","null"
"Roderick MacKinnon","2003","chemistry","null","null"
"Shirin Ebadi","2003","peace","null","null"
"Vitaly L. Ginzburg","2003","physics","null","null"
"Aaron Ciechanover","2004","chemistry","null","null"
"Avram Hershko","2004","chemistry","null","null"
"David J. Gross","2004","physics","null","null"
"H. David Politzer","2004","physics","null","null"
"Edward C. Prescott","2004","economics","null","null"
"Elfriede Jelinek","2004","literature","null","null"
"Finn E. Kydland","2004","economics","null","null"
"Frank Wilczek","2004","physics","null","null"
"Irwin Rose","2004","chemistry","null","null"
"Linda B. Buck","2004","medicine","null","null"
"Richard Axel","2004","medicine","null","null"
"Wangari Maathai","2004","peace","null","null"
