game,publisher
B-Boy,SouthPeak Interactive
Lost Kingdoms,Activision
Thrillville,Lucas Arts
Wallace & Gromit in Project Zoo,BAM! Entertainment
Cabela's Outdoor Adventures,Activision
Pokemon Colosseum,Nintendo
Street Supremacy,Konami
The Fast and the Furious,"Namco Bandai Games America, Inc"
Ratchet & Clank: Size Matters,Sony
The Grim Adventures of Billy & Mandy,Midway
Baldur's Gate: Dark Alliance,Interplay Entertainment
Hunter: The Reckoning,Interplay Entertainment
Charlie and the Chocolate Factory,Global Star
50 Cent: Bulletproof -- G Unit Edition,Firaxis Games
Bomberman Land,Hudson  Soft
Frogger: Ancient Shadow,Konami
Disney's Party,EA
Outlaw Golf,Simon & Schuster
Twisted Metal: Head-On,Sony
Dungeons & Dragons: Heroes,Infogrames
Gitaroo Man Lives,KOEI Corporation
Fire Emblem: Path of Radiance,Nintendo
Hitman 2: Silent Assassin,Eidos Interactive
Puzzle Guzzle,Agetec
Goblin Commander: Unleash the Horde,Jaleco
Mortal Kombat: Unchained,Midway
Juiced: Eliminator,THQ
Batman: Dark Tomorrow,Kemco
Grooverider: Slot Car Thunder,Encore Software
Mystic Heroes,KOEI Corporation
Metal Gear Solid: Digital Graphic Novel,Konami
Castlevania: The Dracula X Chronicles,Konami
Steel Horizon,Konami
TMNT Mutant Melee,Konami
Metal Gear Ac!d 2,Konami
Metal Gear Ac!d,Konami
Disney Sports Skateboarding,Konami
Disney Sports Soccer,Konami
Evolution Skateboarding,Konami
Evolution Snowboarding,Konami
WTA Tour Tennis,Konami
Frogger: Helmet Chaos,Xseed Games
The Legend of Spyro: A New Beginning,Vivendi Universal
King Arthur,Konami
Hellboy: The Science of Evil,Konami
Strike Force Bowling,Crave
NBA Courtside 2002,Nintendo
World Series of Poker,Activision
World Series of Poker,Activision
MTX: Mototrax,Activision
Gladius,LucasArts
Shrek 2,Activision
Shrek: Super Party,TDK Mediactive
The Sims 2,EA
The Sims Bustin' Out,EA
The Sims 2: Pets,EA
The Sims 2,EA
Freaky Flyers,Midway
Mortal Kombat: Deadly Alliance,Midway
Dr. Muto,Midway
Dora the Explorer: Journey to the Purple Planet,Global Star
Baten Kaitos Origins,"Namco Bandai Games America, Inc"
NASCAR: Dirt to Daytona,Infogrames
Jackass: The Game,Red Mile Entertainment
Geist,Nintendo
Mary-Kate and Ashley: Sweet 16 -- Licensed to Drive,Club Acclaim
Ridge Racer,"Namco Bandai Games America, Inc"
Tekken: Dark Resurrection,"Namco Bandai Games America, Inc"
Gunpey,"Namco Bandai Games America, Inc"
Ace Combat X: Skies of Deception,"Namco Bandai Games America, Inc"
MotoGP,"Namco Bandai Games America, Inc"
Snoopy vs. The Red Baron,"Namco Bandai Games America, Inc"
Dead to Rights,"Namco Bandai Games America, Inc"
Star Fox: Assault,Nintendo
Donkey Konga,Nintendo
Pac-Man World 2,"Namco Bandai Games America, Inc"
Soul Calibur II,"Namco Bandai Games America, Inc"
Tales of Symphonia,"Namco Bandai Games America, Inc"
Harvest Moon: A Wonderful Life,Natsume Inc
Tube Slider,"NEC Interchannel, Ltd"
Code Lyoko: Quest for Infinity,Game Factory
Tony Hawk's Pro Skater 3,Activision
Tony Hawk's Project 8,Activision
Tony Hawk's Pro Skater 4,Activision
Tony Hawk's Underground,Activision
Little League Baseball,NewKidCo
Tom and Jerry in War of the Whiskers,NewKidCo LLC
NHL Hitz Pro,Midway
Animal Crossing,Nintendo
Luigi's Mansion,Nintendo
Mario Party 4,Nintendo
The Legend of Zelda: The Wind Waker,Nintendo
Super Mario Sunshine,Nintendo
Pikmin 2,Nintendo
The Legend of Zelda: Ocarina of Time / Master Quest (bonus disc,Nintendo
Super Mario Galaxy,Nintendo
Donkey Kong Jungle Beat,Nintendo
Mario Golf: Toadstool Tour,Nintendo
Wave Race: Blue Storm,Nintendo
Judge Dredd: Dredd vs Death,Evolved Games
NBA Street,EA Sports Big
Dynasty Warriors Vol. 2,KOEI Corporation
Star Wars: The Clone Wars,Lucas Arts
Mission: Impossible -- Operation Surma,Atari
Peter Jackson's King Kong: The Official Game of the Movie,Ubisoft Entertainment
Conflict: Desert Storm,Gotham Games
Diner Dash: Sizzle & Serve,Eidos Interactive
Brunswick Pro Bowling,Crave
Smashing Drive,"Namco Bandai Games America, Inc"
SpyHunter,Midway
NFL Blitz 20-02,Midway
Red Card 20-03,Midway
World Championship Poker Featuring Howard Lederer: All In,Crave
Patapon,Sony
Crash Clash Racing,Vivendi Universal
Tetris Worlds,THQ
The Simpsons Road Rage,EA
X-Men Legends II: Rise of Apocalypse,Activision
X-Men Legends,Activision
X-Men Legends II: Rise of Apocalypse,Activision
Okami,Capcom
Okami,Capcom
Okami,Capcom
Okami,Capcom
Dead to Rights: Reckoning,"Namco Bandai Games America, Inc"
Tom Clancy's Ghost Recon 2,Ubisoft Entertainment
Tom Clancy's Rainbow Six: Lockdown,Ubisoft Entertainment
Metroid Prime 2: Echoes,Radica Games Limited
Grand Theft Auto: Liberty City Stories,Rockstar
Grand Theft Auto: Vice City Stories,Rockstar
Cabela's Dangerous Hunts 2,Activision
Rapala Trophies,Activision
Scooby-Doo! Who's Watching Who,THQ
MLB 07: The Show,Sony
MediEvil Resurrection,Sony
World Tour Soccer,Sony
Sonic Gems Collection,Sega
Sonic Rivals,Sega
Amazing Island,Sega
Virtua Tennis 3,Sega
Shadow the Hedgehog,Sega
Tony Hawk's Underground 2: Remix,Activision
Enter the Matrix,Atari
Eternal Darkness: Sanity's Requiem,Nintendo
Mark Davis Pro Bass Challenge,Natsume
Pac-Man World Rally,"Namco Bandai Games America, Inc"
Pac-Man World Rally,"Namco Bandai Games America, Inc"
"SNK Arcade Classics, Vol. 1",SNK Playmore
Metal Slug Anthology,SNK Playmore USA
Sonic Adventure 2 Battle,Sega
Phantasy Star Online: Episodes I & II -- Plus,Sega
Sonic Adventure DX: Director's Cut,Sega
Puyo Pop Fever,Sega
Phantasy Star Online Episode I & II,Sega
Wipeout Pure,Sony
ATV Offroad Fury: Pro,Sony
NBA 07,Sony
World Tour Soccer '06,Sony
Ape Escape Academy,Sony
Untold Legends: Brotherhood of the Blade,Sony Online Entertainment
ProStroke Golf: World Tour 2007,SouthPeak Interactive
Call of Duty: Finest Hour,Activision
Crisis Core: Final Fantasy VII,Square Enix USA
Rocky,Ubisoft Entertainment
The Lord of the Rings: The Two Towers,EA
OutRun 2006: Coast 2 Coast,Sega
Spelling Challenges and More,Crave
Dungeon Siege: Throne of Agony,2K Games
The Lord of the Rings: The Fellowship of the Ring,Universal Interactive
Metal Arms: Glitch in the System,Sierra
Space Invaders Extreme,Taito
Taito Legends Power-Up,Destineer
Worms Blast,Ubisoft Entertainment
Worms: Open Warfare,THQ
NFL Street 2 Unleashed,EA Sports Big
NBA Street Showdown,EA Sports Big
MVP Baseball,EA
Go! Go! Hypergrind,"Atlus U.S.A., Inc"
Swingerz Golf,Eidos Interactive
BloodRayne,Majesco
Alien Hominid,O3 Entertainment
The Con,Sony
"SpongeBob SquarePants: Lights, Camera, Pants",THQ
The Incredibles,THQ
NFL Street 3,EA Sports Big
Madden NFL 08,EA
Madden NFL 08,EA
Madden NFL 2002,EA
Zoids: Battle Legends,Atari
Madagascar,Activision
LEGO Batman: The Videogame,Warner Bros.  Interactive
Finding Nemo,THQ
WRC: World Rally Championship,"Namco Bandai Games America, Inc"
Bionicle Heroes,Eidos Interactive
LEGO Star Wars: The Video Game,Eidos Interactive
"The Chronicles of Narnia: The Lion, the Witch, and the Wardrobe",Buena Vista Games Inc
Ikaruga,Infogrames
Spider-Man,Activision
Kelly Slater's Pro Surfer,Activision
Tom Clancy's Splinter Cell: Double Agent,Ubisoft Entertainment
Rayman Arena,Ubisoft Entertainment
Disney's Donald Duck: Goin' Quackers,Ubisoft Entertainment
Disney's Tarzan: Untamed,Ubisoft Entertainment
Shaun White Snowboarding,Ubisoft Entertainment
Batman: Vengeance,Ubisoft Entertainment
Open Season,Ubisoft Entertainment
Tom Clancy's Splinter Cell: Essentials,Ubisoft Entertainment
XIII,Ubisoft Entertainment
The Sum of All Fears,Ubisoft Entertainment
Star Wars: Jedi Knight II -- Jedi Outcast,LucasArts
Spider-Man 2,Activision
Marvel Trading Card Game,Konami
Dead Head Fred,D3Publisher of America
Justice League Heroes,Warner Brothers Interactive
NBA 2K2,Sega
NFL 2K3,Sega
NBA 2K3,Sega
World Poker Tour,2K Sports
F1 2002,EA
Spirits & Spells,Dreamcatcher
Animaniacs: The Great Edgar Hunt,Ignition Entertainment
Looney Tunes: Back in Action,EA
Rally Championship,Conspiracy Entertainment Corporation
Home Run King,Sega
Hello Kitty: Roller Rescue,"Namco Bandai Games America, Inc"
WWE SmackDown vs. Raw 2006,THQ
WWE Day of Reckoning 2,THQ
WWE: Day of Reckoning,THQ
X-Men: The Official Game,Activision
Dave Mirra Freestyle BMX 2,Acclaim
