bank,substring
CAISSE D'EPARGNE AQUITAINE POITOU CHARENTES,CEPAFRPP
BANK24.RU OAO,URALRU4E
DRESDNER BANK ZAO,DRESRU2X
"MCSD MISR FOR CLEARING,DEPOSITORY AND REGISTRY",MCSDEGCA
"SHINWA BANK, LTD. THE",SHWAJPJT
AHLI BANK Q.S.C.,ABQQQAQA
"BANK OF KAZAN, KBER, OOO",KABORU2K
ARESBANK,ARESRUMM
THE LATVIA BRANCH OF BANK SNORAS,SNORLV22
SOCIETE DES PAIEMENTS PASS SA,SOAPFR22
INTESA SANPAOLO SPA,BCITFRPP
HSBC SECURITIES EGYPT S.A.E.,HCESEGCX
COMMERCIAL INTERNATIONAL BANK (EGYPT) S.A.E.,CIBEEGCX
SOCIETE ARABE INTERNATIONALE DE BANQUE,SBNKEGCX
THE TOCHIGI BANK LTD.,TOCIJPJT
BANCO DE LA NACION ARGENTINA,NACNUS33
CENTRAL PACIFIC BANK,CEPBUS77
CELGENE CORPORATION,CELGUS3S
"BANCO DE BOGOTA, MIAMI AGENCY",BBOGUS3M
PICTET ASSET MANAGEMENT (JAPAN) LTD.,PICTJPJT
BANK OF ALEXANDRIA S A E,ALEXEGCX
"THE BANK OF NEW YORK MELLON TRUST (JAPAN), LTD",IRVTJPJT
SWEDBANK AS (FORMERLY A/S HANSABANKA),HABALV22
BANQUE MARTIN-MAUREL,BMMMFRCP
BLOM BANK EGYPT S.A.E.,MRBAEGCX
"BNP PARIBAS, DOHA",BNPAQAQA
BALTIKA BANK ZAO,BBNKRU2K
EUROAXIS BANK JOINT STOCK COMMERCIAL BANK,EABMRUMM
FDI FRANCE,FDFRFR22
ISBANK GMBH,ISBKFRPP
"BANK OF KYOTO,LTD.,THE",BOKFJPJZ
ANZ BANK(VIETNAM) LIMITED,ANZBVNVX
FRANCE TELECOM SA,FTELFRPP
"BANK OF TOKYO-MITSUBISHI UFJ, LTD., THE",BOTKFRPX
LA COMPAGNIE FINANCIERE ED. DE ROTHSCHILD BANQUE,COFIFRCP
ADMIRALTEISKY CB LTD,COAYRUMM
BANQUE POPULAIRE LOIRE ET LYONNAIS,CCBPFRPP
COFIDIS,CFFIFR2L
BANCO DO BRASIL S.A.,BRASFRPP
HSBC ASSET MANAGEMENT (EUROPE) SA,HAMFFRPP
"CHARLES SCHWAB AND CO., INC.",CSCHUS6S
"CENTRAL TANSHI CO., LTD.",CTRLJPJT
"OKAZAKI SHINKIN BANK, THE",OKSBJPJZ
BALTINVESTBANK OAO,UNEBRU2P
AXA BANQUE SA,AXABFRPP
DANONE FINANCE S.A.,DAFIFRPP
MEGA INTERNATIONAL COMMERCIAL BANK CO. LTD.,ICBCFRPP
VEOLIA ENVIRONNEMENT SA,VEOEFRPP
PREMIERE SECURITIES,PRSREGCA
FIRST NATIONAL BANK,FNBOUS44
BANK OF CHINA,BKCHVNVX
ROYAL BANK OF SCOTLAND PLC (FORMER ABN AMRO BANK N.V.),ABNAJPJT
CAISSE D'EPARGNE DU LANGUEDOC ROUSSILLON,CEPAFRPP
"JPMORGAN CHASE BANK, N.A.",CHASFRPB
CPI,CPIIFRPP
CENTRAL COMMERCIAL BANK,CBBCRUMM
ASHIKAGA BANK,ASIKJPJT
"CATHAY UNITED BANK, LOS ANGELES AGENCY DBA CUBT",UWCBUS6L
SCHRODER INVESTMENT MANAGEMENT (JAPAN) LIMITED,SIMJJPJ2
ABSOLUT BANK,ABSLRUMM
ABM BANK LTD,ABMBRUMM
APTAR GROUP SAS,APTAFRPP
BANQUE D'ESCOMPTE,ESCBFRPP
LAZARD FRERES BANQUE,LAZPFRCC
IPSEN,IPSNFRPP
SHINHAN BANK JAPAN,SHBKJPJX
CREDITIMPEX BANK,CIPXRUMM
CAISSE D'EPARGNE RHONE ALPES,CEPAFRPP
QATAR CENTRAL BANK,QMAGQAQA
"RBS SECURITIES JAPAN LIMITED, TOKYO BRANCH",NWSJJPJT
DAIWA SB INVESTMENTS LTD,DSBIJPJT
PHARAONIC BROKERAGE CO.,PHBREGCA
AVTOVAZBANK OPEN JOINT-STOCK COMPANY,AVBKRU3T
CAISSE D'EPARGNE DE HAUTE NORMANDIE,CEPAFRPP
AL ZAMAN EXCHANGE W.L.L,ALZAQAQA
SOFIPROTEOL,SOFRFRPP
DEVELOPMENT CAPITAL BANK,VIZIRUMM
CB HOLDING-CREDIT OOO,HOCCRUMM
"THE TOKYO TANSHI CO., LTD.",TKTSJPJT
CAISSE D'EPARGNE DE LOIRE DROME ARDECHE,CEPAFRPP
EXPORT DEVELOPMENT BANK OF EGYPT,EXDEEGCX
VIVENDI,VIVEFRPP
CITIBANK JAPAN LTD.,CITIJPJT
BANCOLOMBIA S.A. MIAMI AGENCY,COLOUS33
CASDEN-BANQUE POPULAIRE,CCBPFRPP
"DBS BANK LTD, TOKYO BRANCH",DBSSJPJT
CAISSE D'EPARGNE COTE D'AZUR,CEPAFRPP
ASIAN-PACIFIC BANK,ASANRU8X
CNP ASSURANCES,CNPAFRPP
"BANK OF THE RYUKYUS, LTD.",RYUBJPJZ
CALYON,CRLYVNVX
MASHREQ BANK,MSHQQAQA
GIRAUD INTERNATIONAL,JIROFRPP
MTS FRANCE SAS,FMTSFRPP
BANQUE RHONE ALPES,RALPFR2G
BANK MOSKVA,RJSCRUMM
EUROCOMMERCE BANK,ECOMRU22
CRC MARIT MUT ATLANTIQUE,CCBPFRPP
"COMMERZBANK AG, PARIS BRANCH (FORMERLY DRESDNER BANK AG, PARIS BRANCH)",DRESFRPX
AVERS BANK,BKAVRU2K
ART ET TECHNIQUES DU PROGRES,GRSRFR22
BANQUE DE GESTION PRIVEE-SIB,SIBLFRPP
BNP PARIBAS VOSTOK,BNPARUMV
BLOM BANK FRANCE,BLOMFRPP
FISCHER FRANCIS TREES AND WATTS INC.,FFTWUS33
CITIBANK N.A.,CITIVNVX
GFX CORPORATION,GFXCUS44
TASWEEQ,TSWQQAQB
ELECTRICITE DE FRANCE,EDFGFRPP
CIBC WORLD MARKETS CORP.,OPCOUS33
"RESONA BANK, LTD., TOKYO",DIWAJPJT
"GOLDEN BANK, N.A.",TFNBUS4H
SOCIETE MARSEILLAISE DE CREDIT,SMCTFR2A
FAR EASTERN BANK OAO,FAEBRU8V
CREDIT SUISSE SECURITIES (JAPAN) LTD.,CSFBJPJX
FIDELITY SERVICE CO,FIDQUS3P
STANDARD CHARTERED BANK,SCBLJPJT
CHINATRUST BANK (USA),CTHCUS66
MISR IRAN DEVELOPMENT BANK,MIDBEGCX
ARAB INTERNATIONAL BANK,ARIBEGCX
CREDIT COMMERCIAL DE FRANCE,CCFRFRCR
BGC SHOKEN KAISHA LIMITED,CFILJPJT
"FORTIS BANK SA/NV, PARIS BRANCH",GEBAFRPP
BANK OF LATVIA,LACBLV2X
MORTGAGE AND LAND BANK OF LATVIA,LHZBLV22
CATHAY BANK,CATHUS6L
GIE AXA FRANCE,AXAFFRPP
BANQUE POPULAIRE COTE D'AZUR,CCBPFRPP
COMMONWEALTH BANK OF AUSTRALIA HO CHI MINH CITY,CTBAVNVX
CREDIT EUROPE BANK LTD,FMOSRUMM
AMERICAN FIRST NATIONAL BANK,AFNBUS4H
BANQUE COURTOIS S.A.,COURFR2T
TEAM FOR STOCK EXCHANGE,TESEEGAL
COMMERCIAL BANK -LANTA-BANK',COLKRUMM
BONNA SABLA SA,BONAFRPP
HSBC BANK MIDDLE EAST LIMITED,BBMEQAQX
"SAITAMA RESONA BANK, LIMITED",SAIBJPJT
"ASAHI SHINKIN BANK, THE",ASKBJPJT
BANQUE POPULAIRE VAL DE FRANCE,CCBPFRPP
CORPORATE FINANCE BANK,FABARUMM
GLOBEOP FINANCIAL SERVICES LLC,GLOPUS33
BAKER HUGHES INCORPORATED,BHICUS44
BAKHTAR BANK,BKRBAFKA
COMMERZBANK AG TOKYO,COBAJPJX
BANQUE PRIVEE 1818,CCBPFRPP
BANQUE PSA FINANCE SA,PSABFRPP
AMB BANK JSC,RBKBRUMM
BANCO DEL PICHINCHA - MIAMI AGENCY,PICHUS3M
GE MONEY BANK SCA,MOEYFRPP
ALFA-BANK,ALFARUMM
BANCO BILBAO VIZCAYA ARGENTARIA TOKYO BRANCH,BBVAJPJT
BANQUE DE REALISATIONS DE GESTION ET DE FINANCEMENT,RGFIFRPP
DUBUS S.A.,DUBUFR2L
SG ASSET MANAGEMENT,SGAMFRPP
BANK ROSSIYSKY KAPITAL,ROSKRUMM
ALGERIA GULF BANK,AGUBDZAL
CREDIT AGRICOLE EGYPT,AGRIEGCX
CAPITAL MERCHANT BANK,ACAERUMM
SOCRAM BANQUE,SORMFR2N
"BANK OF TOKYO-MITSUBISHI UFJ, LTD., THE",BOTKFRCC
"BLACKROCK JAPAN CO., LTD.",BGIAJPJT
RIETUMU BANKA,RTMBLV2X
"BNP PARIBAS ZAO, MOSCOW",BNPARUMM
DUBUS SA,DUBUFR2N
FIRST NATIONS BANK,FNBWUS44
COFACREDIT,COFEFR2P
GURANTEE FOR BROKERAGE,GRNTEGCA
ALTA-BANK ZAO,ALTKRUMM
SOCIETE GENERALE,SOGEFRPP
BANK OF ALGERIA,BALGDZAL
CAPITAL RESEARCH AND MANAGEMENT COMPANY,CRMCUS66
FIRST NATIONAL BANK,FNAOUS44
ABN AMRO CAPITAL USA LLC,FTSBUS33
CAPITAL ZAO,JSBCRU4N
"VEFBANK, JOINT STOCK COMPANY COMMERCIAL BANK",VEFBLV22
AL KHALIJI FRANCE S.A.,LICOFRPP
GILEAD SCIENCES INC.,GILSUS6S
"DANSKE BANK A/S,LATVIJA BRANCH",MARALV22
INDUSTRIAL DEVELOPMENT AND WORKERS BANK OF EGYPT,DIBBEGCA
BNP PARIBAS EQUITIES FRANCE,DBZEFRPP
BARCLAYS BANK - EGYPT S.A.E.,BCBIEGCX
CREDIT COOPERATIF,CCOPFRCP
UNICREDIT BANK AG (HYPOVEREINSBANK) PARIS,HYVEFRPP
BANQUE POPULAIRE ATLANTIQUE,CCBPFRPP
CAISSE D'EPARGNE DE LORRAINE,CEPAFRPP
FINANCIERE BOURBON,FGBBFR2M
"CHIBA KOGYO BANK, LTD., THE",CHIKJPJT
Bank or Institution,Swift Co
CNCE GESTITRES,SDBFFRPP
FIRST CITIZENS BANK AND TRUST CO.,FCBTUS33
"BANK OF TOKYO-MITSUBISHI UFJ, LTD., THE",BOTKVNVX
ARCELOR TREASURY SNC,USINFRPP
COMPAGNIE DE FINANCEMENT FONCIER,CFFOFRPP
ALAHRAM SECURITIES BROKERAGE CO.,AHSCEGCA
CREDIT URAL BANK OAO,CRDURU4C
SAMBA TADAWOL MISR BROKERAGE,STMPEGCA
DERZHAVA JSCB,DERZRUMM
BANQUE D'ORSAY,BQORFRPP
RABOBANK SUCCURSALE DE PARIS,RABOFRPP
BNP PARIBAS SECURITIES (JAPAN) LTD.,BNPAJPJ2
HSBC FRANCE,BABOFRPP
BANK OF KHANTY-MANSIYSK OAO,KHANRUMM
AS DNB NORD BANKA,RIKOLV2X
HSBC FRANCE,CCFRFRPP
"GOLDMAN SACHS MITSUI MARINE DERIVATIVE PRODUCTS, L.P.",GSMMUS33
FLUOR CORPORATION,FLURUS44
"LATVIAN CENTRAL DEPOSITORY,THE",LCDELV22
"FIRST COMMERCIAL BANK, HO CHI MINH CITY BRANCH",FCBKVNVX
"CHINA MERCHANTS BANK CO., LTD.",CMBCUS33
RCIBANQUE S.A.,RCINFRPP
"BANK OF YOKOHAMA, LTD., THE",HAMAJPJT
"BANQUE DUPUY, DE PARSEVAL",BDUPFR2S
SVENSKA HANDELSBANKEN AB,HANDLV22
"BANK NEGARA INDONESIA (PERSERO), PT., TOKYO BRANCH",BNINJPJT
CATERPILLAR INC.,CTPLUS44
BANESCO USA,BBUBUS33
CAISSE DES DEPOTS ET CONSIGNATIONS,CDCGFRPP
"NATIONAL BANK OF KUWAIT (INTERNATIONAL) PLC, PARIS BRANCH",NBOKFRPP
"BANCO INTERNACIONAL DE COSTA RICA, MIAMI AGENCY",COSRUS3M
BOISSIERE FINANCE,SCHNFR22
"GOLDMAN SACHS BANK USA (FORMERLY GOLDMAN SACHS CAPITAL MARKETS, L.P.)",GSCMUS33
FIRST PLACE BANK,FPBSUS33
CJSC -NOMOS-BANK-SIBERIA',NOVORU52
BANQUE AL-BARAKA D'ALGERIE,BRKADZAL
CAISSE D'EPARGNE DE PICARDIE,CEPAFRPP
AL ROWAD FOR SECURITIES BROKERAGE,ROADEGCA
"THE SENSHU IKEDA BANK, LTD.",BIKEJPJS
VTB BANK (FRANCE) S.A.,EUROFRPP
ARAB JORDAN INVESTMENT BANK (QATAR) LLC,AJIBQAQA
NAEEM BROKERAGE,NAEEEGCA
ALIAA STOCK BROKERAGE HOUSE,ALIAEGCA
PASHTANY BANK,PIBAAFKA
ARAB BANK PLC,ARABQAQA
CAISSE D'EPARGNE LOIRE CENTRE,CEPAFRPP
ROTHSCHILD AND CIE BANQUE,RCBPFRPP
THALES SA,TCSFFRPP
HSBC FRANCE,LUBPFRPP
NATIXIS INTEREPARGNE,CCBPFRPP
CANTOR FITZGERALD AND CO.,CANFUS33
FIDUCIARY TRUST COMPANY INTERNATIONAL,FCNYUS33
FIRSTMERIT BANK N.A.,FNBAUS3A
INTERNATIONAL BANK OF QATAR (Q.S.C.),IBOQQAQA
"BANK NEGARA INDONESIA (PERSERO) PT., NEW YORK AGENCY",BNINUS33
NATIONAL INVESTMENT BANK,NINBEGCA
BAIN AND COMPANY INC,BAOYUS33
"CAPITAL ONE,N.A.",HIBKUS44
BANCO BRADESCO S.A.,BBDEUS33
"SHIMIZU BANK LTD., THE",SMZGJPJT
ARVEST BANK,ARVTUS44
BANQUES POPULAIRES PARTICIPATIONS,HLBPFRPP
DVE STOLITCY KB,DVSORUMM
"CREDIT SUISSE (FRANCE), PARIS",CRESFRPP
CHINA CONSTRUCTION BANK CORPORATION TOKYO BRANCH,PCBCJPJT
CAISSE D'EPARGNE NORD FRANCE EUROPE,CEPAFRPP
BANQUE D'ORSAY,BQORFRCC
DOHA SECURITIES MARKET,DSMDQAQA
SCHRODER INVESTMENT MANAGEMENT (JAPAN) LIMITED,SIMJJPJT
BANKE MILLIE AFGHAN,BMAFAFKA
CAISSE D'EPARGNE DES PAYS DE L'ADOUR,CEPAFRPP
BANQUE DU CAIRE,BCAIEGCX
CHINATRUST COMMERCIAL BANK,CTCBUS33
QINVEST LLC,QINVQAQA
GE MONEY BANK,BATRLV2X
BORSKY COMMERCIAL BANK,BOCRRU2B
HSBC FRANCE,BHVTFRPP
ODDO ET CIE,ODDOFRPA
DOLINSK BANK,DOLIRU8Y
"BANQUE LEHMAN BROTHERS S.A., PARIS",SLBSFRPP
BANQUE DE FRANCE,BDFEFR2T
PAREL,PAREFRPP
"AMERICAN EXPRESS TRAVEL RELATED SERVICES CO.,INC. (TRAVELERS CHEQUE OPER.CTR.)",AETCUS55
TYCOON FOR SECURITIES,TYCOEGCA
BANAMEX USA,CALCUS6L
ELNOUR SECURITIES,NOUREGCA
CORTAL CONSORS FRANCE,BCRTFRPP
CAISSE D'EPARGNE PROVENCE ALPES CORSE,CEPAFRPP
"ACI CAPITAL GROUP, LLC",ACIXUS33
AMEGY BANK N.A.,SWBKUS44
"BANK OF AMERICA, N.A.",BOFAUS3D
AUSTRALIA AND NEW ZEALAND BANKING GROUP LTD.,ANZBUS33
RASGAS COMPANY LIMITED,RLNGQAQA
AS LTB BANK,LATCLV22
CREDIT COOPERATIF,CCOPFRPP
GOLDMAN SACHS ASSET MANAGEMENT,GSAMUS33
BANQUE DU MAGHREB ARABE POUR L'INVESTISSEMENT ET LE COMMERCE,BMICDZAL
GLOBAL CAPITAL,GLBCEGCA
AMERICAN INTERNATIONAL GROUP,AIGXUS33
IMERYS SA,IMERFRPP
PIRAEUS BANK - EGYPT S.A.E.,ECBAEGCA
HSBC CCF SECURITIES (FRANCE) S.A.,CEBOFRPP
EVROPEISKY INVESTMENT COMMERCIAL BANK,EVICRU2K
CREDIT DU NORD,NORDFRPP
BNP PARIBAS SECURITIES SERVICES,PARBFRPH
"TAMA SHINKIN BANK, THE",TAMAJPJT
"AMAGASAKI SHINKIN BANK, THE",AMASJPJZ
"TAJIMA BANK, LTD, THE",TJMAJPJZ
AREVA SA,AREVFRPP
CAISSE D'EPARGNE ILE DE FRANCE,CEPAFRPP
"BANK OF NOVA SCOTIA,THE",NOSCEGCA
ARABEYA ON LINE,AOLBEGCA
AMERICAN INTERNATIONAL GROUP GLOBAL INVESTMENT GROUP,AGIGUS33
ALOSTAR BANK OF COMMERCE,ALOEUS44
BANQUE PALATINE (FORMERLY BANQUE SANPAOLO),BSPFFRPP
AIG FINANCIAL PRODUCTS CORP.,AIGFUS33
TOTAL CAPITAL,TOCAFRPP
FIRST GENERAL BANK,FGBCUS66
ALJAZEERA EXCHANGE COMPANY,AEXCQAQA
BANQUE POPULAIRE DES ALPES,CCBPFRPP
AUERBANK,AUERRUMM
QATAR ISLAMIC BANK,QISBQAQA
AFFINE SA,AFFIFRPP
KEPLER CAPITAL MARKETS,JBBRFRPP
STATE STREET TRUST AND BANKING COMPANY LIMITED,SSTBJPJX
"BANCO INDUSTRIAL DE VENEZUELA, C.A. MIAMI AGENCY",INDSUS3M
BANQUE CENTRALE DE COMPENSATION - LCH.CLEARNET SA,BACPFRPP
"FIRST COMMERCIAL BANK, LTD. NEW YORK BRANCH",FCBKUS33
GOLDMAN SACHS BANK USA (FORMERLY THE GOLDMAN SACHS TRUST COMPANY),GSTRUS33
ALLIANZ BANQUE S.A.,AGFBFRCC
FIRST TENNESSEE BANK N.A.,FTBMUS44
CENTERSTATE BANK OF FLORIDA,CSBKUS33
STATE BANK OF INDIA,SBINJPJT
UBS (FRANCE) S.A.,UBSWFRPP
BARCLAYS BANK PLC,BARCJPJ2
IXIS ASSET MANAGEMENT,IXIAFRPP
CAISSE NATIONALE DES CAISSES D'EPARGNE ET DE PREVOYANCE,CEPAFRPP
EFG BANQUE PRIVEE,EFGBFRPP
BALTIC INTERNATIONAL BANK,BLIBLV22
CHINFON COMMERCIAL BANK,CFCBVNVX
COMMERZBANK (EURASIJA) SAO,COBARUMM
EAST-EUROPEAN TRUST BANK,ETRURUMM
BANQUE MARTIN-MAUREL,BMMMFR2A
GENERAL MOTORS HOLDINGS LLC,GMCOUS33
BANQUE NEUFLIZE OBC,NSMBFRPP
CB RABOBANK (CLOSED JOINT-STOCK COMPANY),RABORUMM
"FIRST QUADRANT, L.P.",FQDRUS66
"BANK OF IWATE LTD., THE",BAIWJPJT
"NATIONAL BANK OF GREECE, (EGYPT NETWORK)",ETHNEGCA
BANK URAL FD,JSCORU4P
"COMMERCIAL BANK OF QATAR, LTD.",CBQAQAQA
CB -ROSPROMBANK' CO. LTD,TERARUMM
DAGENERGOBANK,DEBARU22
CAISSE D'EPARGNE DE BRETAGNE,CEPAFRPP
BANQUE POPULAIRE OCCITANE,CCBPFRPP
DEAL-BANK OOO,DEOORUMM
"STATE BANK OF INDIA, PARIS BRANCH",SBINFRPP
FOSTER BANK,FBNKUS44
OPTIMA SECURITIES BROKERAGE,OPSBEGCA
"GLOBEFLEX CAPITAL, L.P.",GFLXUS66
NATIONAL BANK FOR DEVELOPMENT,NBDEEGCX
CM - CIC BANQUES,CMCIFRPP
A/S AKCIJU KOMERCBANKA BALTIKUMS,CBBRLV22
"BANCO BPI, PARIS",BBPIFRPP
SMBC NIKKO SECURITIES INC.,NKSCJPJT
CENTRAL BANK OF EGYPT CAIRO,CBEGEGCX
CALYON (FORMERLY CREDIT LYONNAIS RUSBANK),CRLYRU2P
"CHANG HWA COMMERCIAL BANK LTD., TOKYO BRANCH",CCBCJPJT
BANQUE PELLETIER,BPELFR2Y
