player,position
Marco Van Basten,Forward
Ricardo Oliveira,Forward
Jon Dahl Tomasson,Forward
Ruud Van Nistelrooy,Forward
Shabani Nonda,Forward
Sergio Aguero,Forward
Claudio Pizarro,Foward
Ronaldo,Foward
Brad Friedel,Goalkeeper
Fabian Carini,Goalkeeper
Iker Casillas,Goalkeeper
Jerzy Dudek,Goalkeeper
Jose Luis Chilavert,Goalkeeper
Oliver Kahn,Goalkeeper
Sebastien Frey,Goalkeeper
Vitor Baia,Goalkeeper
Francesco Toldo,Goalkeeper
Franco Costanzo,Goalkeeper
Petr Cech,Goalkeeper
Jens Lehmann,Goalkeeper
Nigel Martyn,Goalkeeper
Santiago Ca?izares,Goalkeeper
Angelo Peruzzi,Goalkeeper
Paul Robinson,Goalkeeper
Ricardo Pereira,Goalkeeper
Edwin Van der Sar,Goalkeeper
Ashley Cole,Left Back
Denis Irwin,Left Back
Francesco Coco,Left Back
Didier Domi,Left Back
Vincent Candela,Left Back
Cristiano Ronaldo,Left Wing
Arjen Robben,Left Wing
Damien Duff,Left Wing
Ryan Giggs,Left Wing
Christian Wilhelmsson,Midfielder
Stilian Petrov,Midfielder
Salif Diao,Midfielder
Kieran Richardson,Midfielder
Stewart Downing,Midfielder
Cesc Fabregas,Midfielder
Danny Murphy,Midfielder
Alex Aguinaga,Midfielder
Claude Makelele,Midfielder
Dino Baggio,Midfielder
Florent Malouda,Midfielder
Frank Lampard,Midfielder
Fredrik Ljungberg,Midfielder
Hidetoshi Nakata,Midfielder
John O'Brien,Midfielder
Juan Sebastian Veron,Midfielder
Luis Gonzalez,Midfielder
Markus Rosenberg,Midfielder
Valdo,Midfielder
Niko Kovac,Midfielder
Simone Perrotta,Midfielder
Mark Van Bommel,Midfielder
Emre Belozoglu,Midfielder
Ze Roberto,Midfielder
Gaizka Mendieta,Midfielder
Tim Borowski,Midfielder
Cristiano Zanetti,Midfielder
Roberto Baronio,Midfielder
Michael Carrick,Midfielder
Dejan Stankovic,Midfielder
Pavel Nedved,Midfielder
Daniele De Rossi,Midfielder
Shunsuke Nakamura,Midfielder
Giovanni Tedesco,Midfielder
Wesley Sneijder,Midfielder
Pierre Wome,Midfielder
Michael Laudrup,Midfielder
Stefano Fiore,Midfielder
Maniche,Midfielder
Eddie Lewis,Midfielder
Vicente,Midfielder
Michel Platini,Midfielder
Michael Essien,Midfielder
Angelos Basinas,Midfielder
Jesper Gronkjaer,Midfielder
Stylianos Giannakopoulos,Midfielder
Marko Babic,Midfielder
Martin Petrov,Midfielder
Kiki Musampa,Midfielder
Federico Insua,Midfielder
Fabian Ernst,Midfielder
Anders Svensson,Midfielder
Andrea Pirlo,Midfielder
Juninho Pernambucano,Midfielder
Thomas Hitzlsperger,Midfielder
Sebastian Kehl,Midfielder
Shaun Wright Phillips,Midfielder
Tore Andre Flo,Striker
Mido,Striker
Adriano,Striker
Ian Wright,Striker
Nicolas Anelka,Striker
Wayne Rooney,Striker
Djibril Cisse,Striker
Hernan Crespo,Striker
Antonio Di Natale,Striker
Benedict McCarthy,Striker
Filippo Inzaghi,Striker
Jurgen Klinsmann,Striker
Luizao,Striker
Samuel Eto'o,Striker
Sergei Rebrov,Striker
Fernando Cavenaghi,Striker
Didier Drogba,Striker
Zlatan Ibrahimovic,Striker
Raul Gonzalez,Striker
Dwight Yorke,Striker
Mikael Forssell,Striker
Jermaine Defoe,Striker
Enrico Chiesa,Striker
Diego Forlan,Striker
Stephane Chapuisat,Striker
Les Ferdinand,Striker
Giovane Elber,Striker
Benito Carbone,Striker
Ivan Klasnic,Striker
Juan Pablo Angel,Striker
Marco Di Vaio,Striker
Ernesto Farias,Striker
